opaque_id,attack_id,pre_id,post_id,phase,config_id,environment,fold_id,attack_cohort,primary_reason,secondary_reasons,changed_semantic_fields,C0_decision,W0_decision,R06_E_only_decision,R08_LOCO_C0_decision,evidence_paths,next_action
sample-6c720df2cc004cddb7d6dfb1a40b4511,sample-480e7ba6bc8f465786594f41dbff046e,sample-6c720df2cc004cddb7d6dfb1a40b4511,sample-6a341947642e46518bd9da1ac2d500e3,clean_pre,w9-rule-boundary-cdp-platform-only-v1,env-003,LOEO-v1-03,CROSS_ONLY,NOT_A_C0_MISS_REFERENCE,"[""FOLD_SHIFT_ZERO_MARGINAL_TRAIN_GAIN"", ""FOLD_SHIFT_CONFIGURATION_ABSENT_FROM_TRAIN""]","[""app.web_data.navigator_layer.platform""]",NO_ALERT,NO_ALERT,NO_ALERT,NO_ALERT,"[""hybridguard_agent/artifacts/formal_manipulation_v1_20260923/01_admission/facts_and_eligibility.jsonl#candidate_id=20260823_api36_rule_boundary_cdp_platform_only_v1:1"", ""hybridguard_agent/artifacts/formal_manipulation_v1_20260923/02_inputs/inference_inputs.jsonl#line=73"", ""hybridguard_agent/artifacts/discriminative_rule_learning_v1_20260924/R05_primary/dispatch/jobs/R05_PRIMARY__LOEO-v1-03__GREEDY_OR__OP05__SRC-111__core/predictions.jsonl#line=45"", ""hybridguard_agent/artifacts/discriminative_rule_learning_v1_20260924/R07_representation/dispatch/jobs/R07_SINGLE_SURFACE_REFIT__LOEO-v1-03__GREEDY_OR__OP05__SRC-111__app_web67/predictions.jsonl#line=45"", ""hybridguard_agent/artifacts/discriminative_rule_learning_v2_20260925/A_diagnosis_pilot/triplet_evidence.jsonl#attack_id=sample-480e7ba6bc8f465786594f41dbff046e""]",Keep detected/control examples; inspect W0 lost cases and Native gate before attributing cross-surface benefit.
sample-480e7ba6bc8f465786594f41dbff046e,sample-480e7ba6bc8f465786594f41dbff046e,sample-6c720df2cc004cddb7d6dfb1a40b4511,sample-6a341947642e46518bd9da1ac2d500e3,attack,w9-rule-boundary-cdp-platform-only-v1,env-003,LOEO-v1-03,CROSS_ONLY,NOT_A_C0_MISS_REFERENCE,"[""FOLD_SHIFT_ZERO_MARGINAL_TRAIN_GAIN"", ""FOLD_SHIFT_CONFIGURATION_ABSENT_FROM_TRAIN""]","[""app.web_data.navigator_layer.platform""]",MANIPULATION_ALERT,NO_ALERT,NO_ALERT,MANIPULATION_ALERT,"[""hybridguard_agent/artifacts/formal_manipulation_v1_20260923/01_admission/facts_and_eligibility.jsonl#candidate_id=20260823_api36_rule_boundary_cdp_platform_only_v1:2"", ""hybridguard_agent/artifacts/formal_manipulation_v1_20260923/02_inputs/inference_inputs.jsonl#line=74"", ""hybridguard_agent/artifacts/discriminative_rule_learning_v1_20260924/R05_primary/dispatch/jobs/R05_PRIMARY__LOEO-v1-03__GREEDY_OR__OP05__SRC-111__core/predictions.jsonl#line=29"", ""hybridguard_agent/artifacts/discriminative_rule_learning_v1_20260924/R07_representation/dispatch/jobs/R07_SINGLE_SURFACE_REFIT__LOEO-v1-03__GREEDY_OR__OP05__SRC-111__app_web67/predictions.jsonl#line=29"", ""hybridguard_agent/artifacts/discriminative_rule_learning_v2_20260925/A_diagnosis_pilot/triplet_evidence.jsonl#attack_id=sample-480e7ba6bc8f465786594f41dbff046e""]",Keep detected/control examples; inspect W0 lost cases and Native gate before attributing cross-surface benefit.
sample-6a341947642e46518bd9da1ac2d500e3,sample-480e7ba6bc8f465786594f41dbff046e,sample-6c720df2cc004cddb7d6dfb1a40b4511,sample-6a341947642e46518bd9da1ac2d500e3,clean_post,w9-rule-boundary-cdp-platform-only-v1,env-003,LOEO-v1-03,CROSS_ONLY,NOT_A_C0_MISS_REFERENCE,"[""FOLD_SHIFT_ZERO_MARGINAL_TRAIN_GAIN"", ""FOLD_SHIFT_CONFIGURATION_ABSENT_FROM_TRAIN""]","[""app.web_data.navigator_layer.platform""]",NO_ALERT,NO_ALERT,NO_ALERT,NO_ALERT,"[""hybridguard_agent/artifacts/formal_manipulation_v1_20260923/01_admission/facts_and_eligibility.jsonl#candidate_id=20260823_api36_rule_boundary_cdp_platform_only_v1:3"", ""hybridguard_agent/artifacts/formal_manipulation_v1_20260923/02_inputs/inference_inputs.jsonl#line=75"", ""hybridguard_agent/artifacts/discriminative_rule_learning_v1_20260924/R05_primary/dispatch/jobs/R05_PRIMARY__LOEO-v1-03__GREEDY_OR__OP05__SRC-111__core/predictions.jsonl#line=42"", ""hybridguard_agent/artifacts/discriminative_rule_learning_v1_20260924/R07_representation/dispatch/jobs/R07_SINGLE_SURFACE_REFIT__LOEO-v1-03__GREEDY_OR__OP05__SRC-111__app_web67/predictions.jsonl#line=42"", ""hybridguard_agent/artifacts/discriminative_rule_learning_v2_20260925/A_diagnosis_pilot/triplet_evidence.jsonl#attack_id=sample-480e7ba6bc8f465786594f41dbff046e""]",Keep detected/control examples; inspect W0 lost cases and Native gate before attributing cross-surface benefit.
sample-b3cdf7ea97fe4828b00defe30879554f,sample-40c36801d19248dd9b0379d4e68e3e5d,sample-b3cdf7ea97fe4828b00defe30879554f,sample-6bc9a1548eef44308772c957fa7a95fa,clean_pre,w9-rule-boundary-cdp-platform-only-v1,env-003,LOEO-v1-03,CROSS_ONLY,NOT_A_C0_MISS_REFERENCE,"[""BUDGET_OR_COMPLEXITY"", ""FOLD_SHIFT_ZERO_MARGINAL_TRAIN_GAIN"", ""FOLD_SHIFT_CONFIGURATION_ABSENT_FROM_TRAIN""]","[""app.web_data.navigator_layer.platform""]",NO_ALERT,NO_ALERT,NO_ALERT,NO_ALERT,"[""hybridguard_agent/artifacts/formal_manipulation_v1_20260923/01_admission/facts_and_eligibility.jsonl#candidate_id=20260823_api36_rule_boundary_cdp_platform_only_v1:4"", ""hybridguard_agent/artifacts/formal_manipulation_v1_20260923/02_inputs/inference_inputs.jsonl#line=76"", ""hybridguard_agent/artifacts/discriminative_rule_learning_v1_20260924/R05_primary/dispatch/jobs/R05_PRIMARY__LOEO-v1-03__GREEDY_OR__OP05__SRC-111__core/predictions.jsonl#line=84"", ""hybridguard_agent/artifacts/discriminative_rule_learning_v1_20260924/R07_representation/dispatch/jobs/R07_SINGLE_SURFACE_REFIT__LOEO-v1-03__GREEDY_OR__OP05__SRC-111__app_web67/predictions.jsonl#line=84"", ""hybridguard_agent/artifacts/discriminative_rule_learning_v2_20260925/A_diagnosis_pilot/triplet_evidence.jsonl#attack_id=sample-40c36801d19248dd9b0379d4e68e3e5d""]",Keep detected/control examples; inspect W0 lost cases and Native gate before attributing cross-surface benefit.
sample-40c36801d19248dd9b0379d4e68e3e5d,sample-40c36801d19248dd9b0379d4e68e3e5d,sample-b3cdf7ea97fe4828b00defe30879554f,sample-6bc9a1548eef44308772c957fa7a95fa,attack,w9-rule-boundary-cdp-platform-only-v1,env-003,LOEO-v1-03,CROSS_ONLY,NOT_A_C0_MISS_REFERENCE,"[""BUDGET_OR_COMPLEXITY"", ""FOLD_SHIFT_ZERO_MARGINAL_TRAIN_GAIN"", ""FOLD_SHIFT_CONFIGURATION_ABSENT_FROM_TRAIN""]","[""app.web_data.navigator_layer.platform""]",MANIPULATION_ALERT,NO_ALERT,NO_ALERT,MANIPULATION_ALERT,"[""hybridguard_agent/artifacts/formal_manipulation_v1_20260923/01_admission/facts_and_eligibility.jsonl#candidate_id=20260823_api36_rule_boundary_cdp_platform_only_v1:5"", ""hybridguard_agent/artifacts/formal_manipulation_v1_20260923/02_inputs/inference_inputs.jsonl#line=77"", ""hybridguard_agent/artifacts/discriminative_rule_learning_v1_20260924/R05_primary/dispatch/jobs/R05_PRIMARY__LOEO-v1-03__GREEDY_OR__OP05__SRC-111__core/predictions.jsonl#line=24"", ""hybridguard_agent/artifacts/discriminative_rule_learning_v1_20260924/R07_representation/dispatch/jobs/R07_SINGLE_SURFACE_REFIT__LOEO-v1-03__GREEDY_OR__OP05__SRC-111__app_web67/predictions.jsonl#line=24"", ""hybridguard_agent/artifacts/discriminative_rule_learning_v2_20260925/A_diagnosis_pilot/triplet_evidence.jsonl#attack_id=sample-40c36801d19248dd9b0379d4e68e3e5d""]",Keep detected/control examples; inspect W0 lost cases and Native gate before attributing cross-surface benefit.
sample-6bc9a1548eef44308772c957fa7a95fa,sample-40c36801d19248dd9b0379d4e68e3e5d,sample-b3cdf7ea97fe4828b00defe30879554f,sample-6bc9a1548eef44308772c957fa7a95fa,clean_post,w9-rule-boundary-cdp-platform-only-v1,env-003,LOEO-v1-03,CROSS_ONLY,NOT_A_C0_MISS_REFERENCE,"[""BUDGET_OR_COMPLEXITY"", ""FOLD_SHIFT_ZERO_MARGINAL_TRAIN_GAIN"", ""FOLD_SHIFT_CONFIGURATION_ABSENT_FROM_TRAIN""]","[""app.web_data.navigator_layer.platform""]",NO_ALERT,NO_ALERT,NO_ALERT,NO_ALERT,"[""hybridguard_agent/artifacts/formal_manipulation_v1_20260923/01_admission/facts_and_eligibility.jsonl#candidate_id=20260823_api36_rule_boundary_cdp_platform_only_v1:6"", ""hybridguard_agent/artifacts/formal_manipulation_v1_20260923/02_inputs/inference_inputs.jsonl#line=78"", ""hybridguard_agent/artifacts/discriminative_rule_learning_v1_20260924/R05_primary/dispatch/jobs/R05_PRIMARY__LOEO-v1-03__GREEDY_OR__OP05__SRC-111__core/predictions.jsonl#line=43"", ""hybridguard_agent/artifacts/discriminative_rule_learning_v1_20260924/R07_representation/dispatch/jobs/R07_SINGLE_SURFACE_REFIT__LOEO-v1-03__GREEDY_OR__OP05__SRC-111__app_web67/predictions.jsonl#line=43"", ""hybridguard_agent/artifacts/discriminative_rule_learning_v2_20260925/A_diagnosis_pilot/triplet_evidence.jsonl#attack_id=sample-40c36801d19248dd9b0379d4e68e3e5d""]",Keep detected/control examples; inspect W0 lost cases and Native gate before attributing cross-surface benefit.
sample-53dbf57ff58e43d3a7cd03a4bdd1fbd7,sample-6df292cd3ed64e1b97aef9bb1600e21b,sample-53dbf57ff58e43d3a7cd03a4bdd1fbd7,sample-9303443b8e5142a68b7738384a867615,clean_pre,w9-rule-boundary-cdp-platform-only-v1,env-003,LOEO-v1-03,CROSS_ONLY,NOT_A_C0_MISS_REFERENCE,"[""BUDGET_OR_COMPLEXITY"", ""FOLD_SHIFT_ZERO_MARGINAL_TRAIN_GAIN"", ""FOLD_SHIFT_CONFIGURATION_ABSENT_FROM_TRAIN""]","[""app.web_data.navigator_layer.platform""]",NO_ALERT,NO_ALERT,NO_ALERT,NO_ALERT,"[""hybridguard_agent/artifacts/formal_manipulation_v1_20260923/01_admission/facts_and_eligibility.jsonl#candidate_id=20260823_api36_rule_boundary_cdp_platform_only_v1:7"", ""hybridguard_agent/artifacts/formal_manipulation_v1_20260923/02_inputs/inference_inputs.jsonl#line=79"", ""hybridguard_agent/artifacts/discriminative_rule_learning_v1_20260924/R05_primary/dispatch/jobs/R05_PRIMARY__LOEO-v1-03__GREEDY_OR__OP05__SRC-111__core/predictions.jsonl#line=35"", ""hybridguard_agent/artifacts/discriminative_rule_learning_v1_20260924/R07_representation/dispatch/jobs/R07_SINGLE_SURFACE_REFIT__LOEO-v1-03__GREEDY_OR__OP05__SRC-111__app_web67/predictions.jsonl#line=35"", ""hybridguard_agent/artifacts/discriminative_rule_learning_v2_20260925/A_diagnosis_pilot/triplet_evidence.jsonl#attack_id=sample-6df292cd3ed64e1b97aef9bb1600e21b""]",Keep detected/control examples; inspect W0 lost cases and Native gate before attributing cross-surface benefit.
sample-6df292cd3ed64e1b97aef9bb1600e21b,sample-6df292cd3ed64e1b97aef9bb1600e21b,sample-53dbf57ff58e43d3a7cd03a4bdd1fbd7,sample-9303443b8e5142a68b7738384a867615,attack,w9-rule-boundary-cdp-platform-only-v1,env-003,LOEO-v1-03,CROSS_ONLY,NOT_A_C0_MISS_REFERENCE,"[""BUDGET_OR_COMPLEXITY"", ""FOLD_SHIFT_ZERO_MARGINAL_TRAIN_GAIN"", ""FOLD_SHIFT_CONFIGURATION_ABSENT_FROM_TRAIN""]","[""app.web_data.navigator_layer.platform""]",MANIPULATION_ALERT,NO_ALERT,NO_ALERT,MANIPULATION_ALERT,"[""hybridguard_agent/artifacts/formal_manipulation_v1_20260923/01_admission/facts_and_eligibility.jsonl#candidate_id=20260823_api36_rule_boundary_cdp_platform_only_v1:8"", ""hybridguard_agent/artifacts/formal_manipulation_v1_20260923/02_inputs/inference_inputs.jsonl#line=80"", ""hybridguard_agent/artifacts/discriminative_rule_learning_v1_20260924/R05_primary/dispatch/jobs/R05_PRIMARY__LOEO-v1-03__GREEDY_OR__OP05__SRC-111__core/predictions.jsonl#line=48"", ""hybridguard_agent/artifacts/discriminative_rule_learning_v1_20260924/R07_representation/dispatch/jobs/R07_SINGLE_SURFACE_REFIT__LOEO-v1-03__GREEDY_OR__OP05__SRC-111__app_web67/predictions.jsonl#line=48"", ""hybridguard_agent/artifacts/discriminative_rule_learning_v2_20260925/A_diagnosis_pilot/triplet_evidence.jsonl#attack_id=sample-6df292cd3ed64e1b97aef9bb1600e21b""]",Keep detected/control examples; inspect W0 lost cases and Native gate before attributing cross-surface benefit.
sample-9303443b8e5142a68b7738384a867615,sample-6df292cd3ed64e1b97aef9bb1600e21b,sample-53dbf57ff58e43d3a7cd03a4bdd1fbd7,sample-9303443b8e5142a68b7738384a867615,clean_post,w9-rule-boundary-cdp-platform-only-v1,env-003,LOEO-v1-03,CROSS_ONLY,NOT_A_C0_MISS_REFERENCE,"[""BUDGET_OR_COMPLEXITY"", ""FOLD_SHIFT_ZERO_MARGINAL_TRAIN_GAIN"", ""FOLD_SHIFT_CONFIGURATION_ABSENT_FROM_TRAIN""]","[""app.web_data.navigator_layer.platform""]",NO_ALERT,NO_ALERT,NO_ALERT,NO_ALERT,"[""hybridguard_agent/artifacts/formal_manipulation_v1_20260923/01_admission/facts_and_eligibility.jsonl#candidate_id=20260823_api36_rule_boundary_cdp_platform_only_v1:9"", ""hybridguard_agent/artifacts/formal_manipulation_v1_20260923/02_inputs/inference_inputs.jsonl#line=81"", ""hybridguard_agent/artifacts/discriminative_rule_learning_v1_20260924/R05_primary/dispatch/jobs/R05_PRIMARY__LOEO-v1-03__GREEDY_OR__OP05__SRC-111__core/predictions.jsonl#line=65"", ""hybridguard_agent/artifacts/discriminative_rule_learning_v1_20260924/R07_representation/dispatch/jobs/R07_SINGLE_SURFACE_REFIT__LOEO-v1-03__GREEDY_OR__OP05__SRC-111__app_web67/predictions.jsonl#line=65"", ""hybridguard_agent/artifacts/discriminative_rule_learning_v2_20260925/A_diagnosis_pilot/triplet_evidence.jsonl#attack_id=sample-6df292cd3ed64e1b97aef9bb1600e21b""]",Keep detected/control examples; inspect W0 lost cases and Native gate before attributing cross-surface benefit.
sample-98ab789081954ff492761392584cf081,sample-19e49034b3d047ad9e5cb96c98dbfc8c,sample-98ab789081954ff492761392584cf081,sample-33573aabe86e47cfbe7f60f14a82161f,clean_pre,w9-rule-boundary-cdp-resource-pair-v1,env-003,LOEO-v1-03,SINGLE_ONLY,REPRESENTATION_GAP,"[""FOLD_SHIFT_ZERO_MARGINAL_TRAIN_GAIN"", ""FOLD_SHIFT_CONFIGURATION_ABSENT_FROM_TRAIN""]","[""app.web_data.navigator_layer.device_memory"", ""app.web_data.navigator_layer.hardware_concurrency""]",NO_ALERT,NO_ALERT,NO_ALERT,NO_ALERT,"[""hybridguard_agent/artifacts/formal_manipulation_v1_20260923/01_admission/facts_and_eligibility.jsonl#candidate_id=20260823_api36_rule_boundary_cdp_resource_pair_v1:1"", ""hybridguard_agent/artifacts/formal_manipulation_v1_20260923/02_inputs/inference_inputs.jsonl#line=82"", ""hybridguard_agent/artifacts/discriminative_rule_learning_v1_20260924/R05_primary/dispatch/jobs/R05_PRIMARY__LOEO-v1-03__GREEDY_OR__OP05__SRC-111__core/predictions.jsonl#line=71"", ""hybridguard_agent/artifacts/discriminative_rule_learning_v1_20260924/R07_representation/dispatch/jobs/R07_SINGLE_SURFACE_REFIT__LOEO-v1-03__GREEDY_OR__OP05__SRC-111__app_web67/predictions.jsonl#line=71"", ""hybridguard_agent/artifacts/discriminative_rule_learning_v2_20260925/A_diagnosis_pilot/triplet_evidence.jsonl#attack_id=sample-19e49034b3d047ad9e5cb96c98dbfc8c""]",Use field_reference_inventory; distinguish existing predicate invariance from missing relation and fold support.
