boolean_only_ns,cached_input_read_parse_ns,command,decision,error,explanation_only_ns,fixed_feature_conversion_ns,fold_id,input_ref,input_view,ipc_request_response_inclusive_ns,kind,logical_state,method_id,model_id,opaque_id,operating_point,pass_number,phase,pid,predict_including_explanation_and_model_integrity_ns,prediction_serialization_ns,record_role,sample_inclusive_ns,semantic_sha256,semantic_verification_ns,separate_boolean_explanation_status,sequence,source_condition,status,utc
null,84750,PREDICT,NO_ALERT,null,null,54542,LOEO-v1-03,/Users/xavier/毕业设计/RBA-Cross-Device-Fingerprint/hybridguard_agent/artifacts/discriminative_rule_learning_v1_20260924/R04_freeze_r1/data/current/sample-026c9c82f8e544008d21f45281871ae6.json,core,237542,SAMPLE,F,GREEDY_OR,r03-016f41d7f421b218512d7262,sample-026c9c82f8e544008d21f45281871ae6,OP05,1,WARMUP,14989,52083,10416,BENCHMARK_ONLY,206875,c0735e682c225fa3d8bb306f499eafd87e314d496384c732a30e8bdaf0742190,2500,NOT_RECORDED_INTERLEAVED_FROZEN_PREDICTOR,163,SRC-111,MATCH,2026-09-24T16:24:43.269319+00:00
null,82083,PREDICT,NO_ALERT,null,null,53916,LOEO-v1-03,/Users/xavier/毕业设计/RBA-Cross-Device-Fingerprint/hybridguard_agent/artifacts/discriminative_rule_learning_v1_20260924/R04_freeze_r1/data/current/sample-03c6dc75f1db4e92baecc6a7c70a5f02.json,core,228958,SAMPLE,F,GREEDY_OR,r03-016f41d7f421b218512d7262,sample-03c6dc75f1db4e92baecc6a7c70a5f02,OP05,1,WARMUP,14989,49708,10125,BENCHMARK_ONLY,199791,d1449fac88438d94e85f563255bdbb141910675c4125f225df721fc928cb7fba,1458,NOT_RECORDED_INTERLEAVED_FROZEN_PREDICTOR,164,SRC-111,MATCH,2026-09-24T16:24:43.269568+00:00
null,93917,PREDICT,NO_ALERT,null,null,62875,LOEO-v1-01,/Users/xavier/毕业设计/RBA-Cross-Device-Fingerprint/hybridguard_agent/artifacts/discriminative_rule_learning_v1_20260924/R04_freeze_r1/data/current/sample-04689a7774754137a06fc672c9a34627.json,core,287042,SAMPLE,F,GREEDY_OR,r03-32440e7ea280302890a67a73,sample-04689a7774754137a06fc672c9a34627,OP05,1,WARMUP,14987,77875,12709,BENCHMARK_ONLY,253417,df637744c96afcb9f41dcc0ba293c7aba23327436b164c87e7accbf10b6a02ff,2750,NOT_RECORDED_INTERLEAVED_FROZEN_PREDICTOR,165,SRC-111,MATCH,2026-09-24T16:24:43.269812+00:00
null,94292,PREDICT,NO_ALERT,null,null,63416,LOEO-v1-02,/Users/xavier/毕业设计/RBA-Cross-Device-Fingerprint/hybridguard_agent/artifacts/discriminative_rule_learning_v1_20260924/R04_freeze_r1/data/current/sample-065c905ccda7420eb2d26ede92451811.json,core,351167,SAMPLE,F,GREEDY_OR,r03-473f47463b00eb7aea74f493,sample-065c905ccda7420eb2d26ede92451811,OP05,1,WARMUP,14988,119584,20792,BENCHMARK_ONLY,307959,3617f20fe38751710b6e526daca51ed83276a714608ee4a01101784c0590a6f7,5417,NOT_RECORDED_INTERLEAVED_FROZEN_PREDICTOR,166,SRC-111,MATCH,2026-09-24T16:24:43.270121+00:00
null,117625,PREDICT,NO_ALERT,null,null,73208,LOEO-v1-03,/Users/xavier/毕业设计/RBA-Cross-Device-Fingerprint/hybridguard_agent/artifacts/discriminative_rule_learning_v1_20260924/R04_freeze_r1/data/current/sample-0b26e99122a54a5699dbf3786325561c.json,core,414959,SAMPLE,F,GREEDY_OR,r03-016f41d7f421b218512d7262,sample-0b26e99122a54a5699dbf3786325561c,OP05,1,WARMUP,14989,84709,20542,BENCHMARK_ONLY,304708,7daace2b6a00e68d86145e5df69fe02dfde6f96bd95e6eb21dd947b683f0f379,3500,NOT_RECORDED_INTERLEAVED_FROZEN_PREDICTOR,167,SRC-111,MATCH,2026-09-24T16:24:43.270646+00:00
null,110375,PREDICT,NO_ALERT,null,null,70792,LOEO-v1-01,/Users/xavier/毕业设计/RBA-Cross-Device-Fingerprint/hybridguard_agent/artifacts/discriminative_rule_learning_v1_20260924/R04_freeze_r1/data/current/sample-0bffc108cdcd46498c072fd18758b023.json,core,340542,SAMPLE,F,GREEDY_OR,r03-32440e7ea280302890a67a73,sample-0bffc108cdcd46498c072fd18758b023,OP05,1,WARMUP,14987,91000,15375,BENCHMARK_ONLY,294334,774acfde6f683cc77b02d6747a42c5790380f95bfdb4021c78533fa64dad349d,2834,NOT_RECORDED_INTERLEAVED_FROZEN_PREDICTOR,168,SRC-111,MATCH,2026-09-24T16:24:43.271022+00:00
null,97166,PREDICT,NO_ALERT,null,null,60792,LOEO-v1-03,/Users/xavier/毕业设计/RBA-Cross-Device-Fingerprint/hybridguard_agent/artifacts/discriminative_rule_learning_v1_20260924/R04_freeze_r1/data/current/sample-0c95698111ae406d9ea186860a67bd74.json,core,277500,SAMPLE,F,GREEDY_OR,r03-016f41d7f421b218512d7262,sample-0c95698111ae406d9ea186860a67bd74,OP05,1,WARMUP,14989,60541,12750,BENCHMARK_ONLY,237709,52c1e70e5478cc38f154534e5cd93dc9470ff819687ac271620bac811d65b440,3250,NOT_RECORDED_INTERLEAVED_FROZEN_PREDICTOR,169,SRC-111,MATCH,2026-09-24T16:24:43.271372+00:00
null,91000,PREDICT,NO_ALERT,null,null,55250,LOEO-v1-03,/Users/xavier/毕业设计/RBA-Cross-Device-Fingerprint/hybridguard_agent/artifacts/discriminative_rule_learning_v1_20260924/R04_freeze_r1/data/current/sample-0cf60a3c6df34e538cbe239df2893a6f.json,core,247958,SAMPLE,F,GREEDY_OR,r03-016f41d7f421b218512d7262,sample-0cf60a3c6df34e538cbe239df2893a6f,OP05,1,WARMUP,14989,53250,10625,BENCHMARK_ONLY,214584,c4f1b46ed716716e166cf693a7aab11bee7194e69ad0a9a52662bcfe46f9458b,1625,NOT_RECORDED_INTERLEAVED_FROZEN_PREDICTOR,170,SRC-111,MATCH,2026-09-24T16:24:43.271664+00:00
null,85208,PREDICT,NO_ALERT,null,null,54041,LOEO-v1-03,/Users/xavier/毕业设计/RBA-Cross-Device-Fingerprint/hybridguard_agent/artifacts/discriminative_rule_learning_v1_20260924/R04_freeze_r1/data/current/sample-0d231b950599443c8bc22fb483a9f2fa.json,core,233125,SAMPLE,F,GREEDY_OR,r03-016f41d7f421b218512d7262,sample-0d231b950599443c8bc22fb483a9f2fa,OP05,1,WARMUP,14989,50708,10333,BENCHMARK_ONLY,204291,6550ede979da2e7a7ae72d90e451991c48bcbd24f243c5ae6f7aa6848dec8d55,1291,NOT_RECORDED_INTERLEAVED_FROZEN_PREDICTOR,171,SRC-111,MATCH,2026-09-24T16:24:43.271921+00:00
null,83333,PREDICT,NO_ALERT,null,null,51791,LOEO-v1-03,/Users/xavier/毕业设计/RBA-Cross-Device-Fingerprint/hybridguard_agent/artifacts/discriminative_rule_learning_v1_20260924/R04_freeze_r1/data/current/sample-0ee74dfbc8114447b5112a316a588e94.json,core,226250,SAMPLE,F,GREEDY_OR,r03-016f41d7f421b218512d7262,sample-0ee74dfbc8114447b5112a316a588e94,OP05,1,WARMUP,14989,49375,10125,BENCHMARK_ONLY,198292,2d314cc59904462b321d7b4ea1abe037fb44db723412dcd6b8da88627aa2c061,1083,NOT_RECORDED_INTERLEAVED_FROZEN_PREDICTOR,172,SRC-111,MATCH,2026-09-24T16:24:43.272168+00:00
