model_unit_id,fit_job_id,fold_id,method_id,operating_point,source_condition,input_view,evaluation_track,protocol_digest,model_id,train_membership_ref,train_membership_digest,fit_status,model_status,train_n,clean_n,alpha,clean_budget,clean_alerts,phase_decision_coverage,complexity,complexity_limit,clauses,constraints_satisfied,solver,best_bound,gap,fit_seconds,rule_ids,evidence
R05_PRIMARY__LOEO-v1-01__FINITE_IP_DNF2__OP05__SRC-111__core,R05_PRIMARY__LOEO-v1-01__FINITE_IP_DNF2__OP05__SRC-111__core,LOEO-v1-01,FINITE_IP_DNF2,OP05,SRC-111,core,LOEO-v1,4ab418434ea79085746c2761a1314751b7c83a538813ae3872b3d9721a2823d4,r03-4e6a09d4686485ecd7a96191,expected_model_units.jsonl#R05_PRIMARY__LOEO-v1-01__FINITE_IP_DNF2__OP05__SRC-111__core,b9cc9b0905b7ca12bc8b4e29a9012d12a01f9b748ff4958553c227aefa4d8e23,OPTIMAL_FINITE_POOL,FITTED,135,90,0.05,4,0,"{""attack"": 1.0, ""clean_post"": 1.0, ""clean_pre"": 1.0}",2,18,1,True,HiGHS,0.37461538461538463,0.0,0.3866797920782119,"[""DEVIATION:OFFDER-UA-001:POSITIVE""]",ARITHMETIC_OVER_SAVED_TRAIN_STATES_NO_INFERENCE
R05_PRIMARY__LOEO-v1-01__FINITE_IP_OR__OP05__SRC-111__core,R05_PRIMARY__LOEO-v1-01__FINITE_IP_OR__OP05__SRC-111__core,LOEO-v1-01,FINITE_IP_OR,OP05,SRC-111,core,LOEO-v1,4ab418434ea79085746c2761a1314751b7c83a538813ae3872b3d9721a2823d4,r03-a052d34ef08145d18d100860,expected_model_units.jsonl#R05_PRIMARY__LOEO-v1-01__FINITE_IP_OR__OP05__SRC-111__core,b9cc9b0905b7ca12bc8b4e29a9012d12a01f9b748ff4958553c227aefa4d8e23,OPTIMAL_FINITE_POOL,FITTED,135,90,0.05,4,0,"{""attack"": 1.0, ""clean_post"": 1.0, ""clean_pre"": 1.0}",2,12,1,True,HiGHS,0.37461538461538463,0.0,0.06677787494845688,"[""DEVIATION:OFFDER-UA-001:POSITIVE""]",ARITHMETIC_OVER_SAVED_TRAIN_STATES_NO_INFERENCE
R05_PRIMARY__LOEO-v1-01__GREEDY_OR__OP05__SRC-111__core,R05_PRIMARY__LOEO-v1-01__GREEDY_OR__OP05__SRC-111__core,LOEO-v1-01,GREEDY_OR,OP05,SRC-111,core,LOEO-v1,4ab418434ea79085746c2761a1314751b7c83a538813ae3872b3d9721a2823d4,r03-32440e7ea280302890a67a73,expected_model_units.jsonl#R05_PRIMARY__LOEO-v1-01__GREEDY_OR__OP05__SRC-111__core,b9cc9b0905b7ca12bc8b4e29a9012d12a01f9b748ff4958553c227aefa4d8e23,HEURISTIC_FEASIBLE,FITTED,135,90,0.05,4,0,"{""attack"": 1.0, ""clean_post"": 1.0, ""clean_pre"": 1.0}",2,12,1,True,R03_DETERMINISTIC_GREEDY_V1,,,0.015420917188748717,"[""DEVIATION:OFFDER-UA-001:POSITIVE""]",ARITHMETIC_OVER_SAVED_TRAIN_STATES_NO_INFERENCE
R05_PRIMARY__LOEO-v1-02__FINITE_IP_DNF2__OP05__SRC-111__core,R05_PRIMARY__LOEO-v1-02__FINITE_IP_DNF2__OP05__SRC-111__core,LOEO-v1-02,FINITE_IP_DNF2,OP05,SRC-111,core,LOEO-v1,4ab418434ea79085746c2761a1314751b7c83a538813ae3872b3d9721a2823d4,r03-3c89c2a208fd04d9963f16b1,expected_model_units.jsonl#R05_PRIMARY__LOEO-v1-02__FINITE_IP_DNF2__OP05__SRC-111__core,91ca3c81351a9f36d1217438d95d06b37fb0eb59fa13fdb6acdf12168cd51e0c,OPTIMAL_FINITE_POOL,FITTED,144,96,0.05,4,0,"{""attack"": 1.0, ""clean_post"": 1.0, ""clean_pre"": 1.0}",2,18,1,True,HiGHS,0.4185714285714286,0.0,0.41324945795349777,"[""DEVIATION:OFFDER-UA-001:POSITIVE""]",ARITHMETIC_OVER_SAVED_TRAIN_STATES_NO_INFERENCE
R05_PRIMARY__LOEO-v1-02__FINITE_IP_OR__OP05__SRC-111__core,R05_PRIMARY__LOEO-v1-02__FINITE_IP_OR__OP05__SRC-111__core,LOEO-v1-02,FINITE_IP_OR,OP05,SRC-111,core,LOEO-v1,4ab418434ea79085746c2761a1314751b7c83a538813ae3872b3d9721a2823d4,r03-af0013be06359a600621850b,expected_model_units.jsonl#R05_PRIMARY__LOEO-v1-02__FINITE_IP_OR__OP05__SRC-111__core,91ca3c81351a9f36d1217438d95d06b37fb0eb59fa13fdb6acdf12168cd51e0c,OPTIMAL_FINITE_POOL,FITTED,144,96,0.05,4,0,"{""attack"": 1.0, ""clean_post"": 1.0, ""clean_pre"": 1.0}",2,12,1,True,HiGHS,0.4185714285714286,0.0,0.07236333400942385,"[""DEVIATION:OFFDER-UA-001:POSITIVE""]",ARITHMETIC_OVER_SAVED_TRAIN_STATES_NO_INFERENCE
R05_PRIMARY__LOEO-v1-02__GREEDY_OR__OP05__SRC-111__core,R05_PRIMARY__LOEO-v1-02__GREEDY_OR__OP05__SRC-111__core,LOEO-v1-02,GREEDY_OR,OP05,SRC-111,core,LOEO-v1,4ab418434ea79085746c2761a1314751b7c83a538813ae3872b3d9721a2823d4,r03-473f47463b00eb7aea74f493,expected_model_units.jsonl#R05_PRIMARY__LOEO-v1-02__GREEDY_OR__OP05__SRC-111__core,91ca3c81351a9f36d1217438d95d06b37fb0eb59fa13fdb6acdf12168cd51e0c,HEURISTIC_FEASIBLE,FITTED,144,96,0.05,4,0,"{""attack"": 1.0, ""clean_post"": 1.0, ""clean_pre"": 1.0}",2,12,1,True,R03_DETERMINISTIC_GREEDY_V1,,,0.01636520796455443,"[""DEVIATION:OFFDER-UA-001:POSITIVE""]",ARITHMETIC_OVER_SAVED_TRAIN_STATES_NO_INFERENCE
R05_PRIMARY__LOEO-v1-03__FINITE_IP_DNF2__OP05__SRC-111__core,R05_PRIMARY__LOEO-v1-03__FINITE_IP_DNF2__OP05__SRC-111__core,LOEO-v1-03,FINITE_IP_DNF2,OP05,SRC-111,core,LOEO-v1,4ab418434ea79085746c2761a1314751b7c83a538813ae3872b3d9721a2823d4,r03-96c94a6f68d5eef8a424d53a,expected_model_units.jsonl#R05_PRIMARY__LOEO-v1-03__FINITE_IP_DNF2__OP05__SRC-111__core,53001f6db1116d9edc3d72c84ccddf9324e6ca9ad5fab0ae57d017e772f7b27e,OPTIMAL_FINITE_POOL,FITTED,45,30,0.05,1,0,"{""attack"": 1.0, ""clean_post"": 1.0, ""clean_pre"": 1.0}",2,18,1,True,HiGHS,0.6566666666666666,0.0,0.1472396671306342,"[""DEVIATION:OFFDER-UA-001:POSITIVE""]",ARITHMETIC_OVER_SAVED_TRAIN_STATES_NO_INFERENCE
R05_PRIMARY__LOEO-v1-03__FINITE_IP_OR__OP05__SRC-111__core,R05_PRIMARY__LOEO-v1-03__FINITE_IP_OR__OP05__SRC-111__core,LOEO-v1-03,FINITE_IP_OR,OP05,SRC-111,core,LOEO-v1,4ab418434ea79085746c2761a1314751b7c83a538813ae3872b3d9721a2823d4,r03-4de29656b74a8e6e84ff346d,expected_model_units.jsonl#R05_PRIMARY__LOEO-v1-03__FINITE_IP_OR__OP05__SRC-111__core,53001f6db1116d9edc3d72c84ccddf9324e6ca9ad5fab0ae57d017e772f7b27e,OPTIMAL_FINITE_POOL,FITTED,45,30,0.05,1,0,"{""attack"": 1.0, ""clean_post"": 1.0, ""clean_pre"": 1.0}",2,12,1,True,HiGHS,0.6566666666666666,0.0,0.02695387485437095,"[""DEVIATION:OFFDER-UA-001:POSITIVE""]",ARITHMETIC_OVER_SAVED_TRAIN_STATES_NO_INFERENCE
R05_PRIMARY__LOEO-v1-03__GREEDY_OR__OP05__SRC-111__core,R05_PRIMARY__LOEO-v1-03__GREEDY_OR__OP05__SRC-111__core,LOEO-v1-03,GREEDY_OR,OP05,SRC-111,core,LOEO-v1,4ab418434ea79085746c2761a1314751b7c83a538813ae3872b3d9721a2823d4,r03-016f41d7f421b218512d7262,expected_model_units.jsonl#R05_PRIMARY__LOEO-v1-03__GREEDY_OR__OP05__SRC-111__core,53001f6db1116d9edc3d72c84ccddf9324e6ca9ad5fab0ae57d017e772f7b27e,HEURISTIC_FEASIBLE,FITTED,45,30,0.05,1,0,"{""attack"": 1.0, ""clean_post"": 1.0, ""clean_pre"": 1.0}",2,12,1,True,R03_DETERMINISTIC_GREEDY_V1,,,0.0057695419527590275,"[""DEVIATION:OFFDER-UA-001:POSITIVE""]",ARITHMETIC_OVER_SAVED_TRAIN_STATES_NO_INFERENCE
R05_PRIMARY__LOEO-v1-01__FINITE_IP_DNF2__OP00__SRC-111__core,R05_PRIMARY__LOEO-v1-01__FINITE_IP_DNF2__OP00__SRC-111__core,LOEO-v1-01,FINITE_IP_DNF2,OP00,SRC-111,core,LOEO-v1,4ab418434ea79085746c2761a1314751b7c83a538813ae3872b3d9721a2823d4,r03-15c5c3cc7b793c4f9bc758eb,expected_model_units.jsonl#R05_PRIMARY__LOEO-v1-01__FINITE_IP_DNF2__OP00__SRC-111__core,b9cc9b0905b7ca12bc8b4e29a9012d12a01f9b748ff4958553c227aefa4d8e23,OPTIMAL_FINITE_POOL,FITTED,135,90,0.0,0,0,"{""attack"": 1.0, ""clean_post"": 1.0, ""clean_pre"": 1.0}",2,18,1,True,HiGHS,0.37461538461538463,0.0,0.3619766670744866,"[""DEVIATION:OFFDER-UA-001:POSITIVE""]",ARITHMETIC_OVER_SAVED_TRAIN_STATES_NO_INFERENCE
