experiment_id,protocol_digest,split_id,method_id,operating_point,source_condition,input_view,evaluation_track,data_origin,model_unit_id,fit_job_id,fold_id,train_membership_digest,model_id,reused,executed_model_unit_id,train_membership_ref,original_model_ref,original_training_ref,status,model_status,fit_status,train_expected_n,clean_denominator,clean_budget,clean_alarms,phase_decision_coverage,complexity,train_constraints_feasible,macro_tpr,objective,empty_outcome_is_not_solver_failure
R06_SOURCE_REFIT,4ab418434ea79085746c2761a1314751b7c83a538813ae3872b3d9721a2823d4,LOEO-v1,GREEDY_OR,OP05,SRC-000,core,LOEO-v1,R02_FIXED_CACHE,R06_SOURCE_REFIT__LOEO-v1-01__GREEDY_OR__OP05__SRC-000__core,R06_SOURCE_REFIT__LOEO-v1-01__GREEDY_OR__OP05__SRC-000__core,LOEO-v1-01,b9cc9b0905b7ca12bc8b4e29a9012d12a01f9b748ff4958553c227aefa4d8e23,r03-2ee15f1d685371c87d6d0076,False,R06_SOURCE_REFIT__LOEO-v1-01__GREEDY_OR__OP05__SRC-000__core,expected_model_units.jsonl#R06_SOURCE_REFIT__LOEO-v1-01__GREEDY_OR__OP05__SRC-000__core,/Users/xavier/毕业设计/RBA-Cross-Device-Fingerprint/hybridguard_agent/artifacts/discriminative_rule_learning_v1_20260924/R06_sources/dispatch/jobs/R06_SOURCE_REFIT__LOEO-v1-01__GREEDY_OR__OP05__SRC-000__core/model.json,/Users/xavier/毕业设计/RBA-Cross-Device-Fingerprint/hybridguard_agent/artifacts/discriminative_rule_learning_v1_20260924/R06_sources/dispatch/jobs/R06_SOURCE_REFIT__LOEO-v1-01__GREEDY_OR__OP05__SRC-000__core/training.json,PASS,EMPTY_MODEL,EMPTY_CANDIDATE_POOL,135,90,4,0,"{""attack"": 0.0, ""clean_post"": 0.0, ""clean_pre"": 0.0}",0,False,0,0,True
R06_SOURCE_REFIT,4ab418434ea79085746c2761a1314751b7c83a538813ae3872b3d9721a2823d4,LOEO-v1,GREEDY_OR,OP05,SRC-001,core,LOEO-v1,R02_FIXED_CACHE,R06_SOURCE_REFIT__LOEO-v1-01__GREEDY_OR__OP05__SRC-001__core,R06_SOURCE_REFIT__LOEO-v1-01__GREEDY_OR__OP05__SRC-001__core,LOEO-v1-01,b9cc9b0905b7ca12bc8b4e29a9012d12a01f9b748ff4958553c227aefa4d8e23,r03-4e7992befc514e0c3e331350,False,R06_SOURCE_REFIT__LOEO-v1-01__GREEDY_OR__OP05__SRC-001__core,expected_model_units.jsonl#R06_SOURCE_REFIT__LOEO-v1-01__GREEDY_OR__OP05__SRC-001__core,/Users/xavier/毕业设计/RBA-Cross-Device-Fingerprint/hybridguard_agent/artifacts/discriminative_rule_learning_v1_20260924/R06_sources/dispatch/jobs/R06_SOURCE_REFIT__LOEO-v1-01__GREEDY_OR__OP05__SRC-001__core/model.json,/Users/xavier/毕业设计/RBA-Cross-Device-Fingerprint/hybridguard_agent/artifacts/discriminative_rule_learning_v1_20260924/R06_sources/dispatch/jobs/R06_SOURCE_REFIT__LOEO-v1-01__GREEDY_OR__OP05__SRC-001__core/training.json,PASS,FITTED,HEURISTIC_FEASIBLE,135,90,4,0,"{""attack"": 1.0, ""clean_post"": 1.0, ""clean_pre"": 1.0}",2,True,4/13,387/1300,False
R06_SOURCE_REFIT,4ab418434ea79085746c2761a1314751b7c83a538813ae3872b3d9721a2823d4,LOEO-v1,GREEDY_OR,OP05,SRC-010,core,LOEO-v1,R02_FIXED_CACHE,R06_SOURCE_REFIT__LOEO-v1-01__GREEDY_OR__OP05__SRC-010__core,R06_SOURCE_REFIT__LOEO-v1-01__GREEDY_OR__OP05__SRC-010__core,LOEO-v1-01,b9cc9b0905b7ca12bc8b4e29a9012d12a01f9b748ff4958553c227aefa4d8e23,r03-2ec0ecaccc040f5df5aaad07,False,R06_SOURCE_REFIT__LOEO-v1-01__GREEDY_OR__OP05__SRC-010__core,expected_model_units.jsonl#R06_SOURCE_REFIT__LOEO-v1-01__GREEDY_OR__OP05__SRC-010__core,/Users/xavier/毕业设计/RBA-Cross-Device-Fingerprint/hybridguard_agent/artifacts/discriminative_rule_learning_v1_20260924/R06_sources/dispatch/jobs/R06_SOURCE_REFIT__LOEO-v1-01__GREEDY_OR__OP05__SRC-010__core/model.json,/Users/xavier/毕业设计/RBA-Cross-Device-Fingerprint/hybridguard_agent/artifacts/discriminative_rule_learning_v1_20260924/R06_sources/dispatch/jobs/R06_SOURCE_REFIT__LOEO-v1-01__GREEDY_OR__OP05__SRC-010__core/training.json,PASS,EMPTY_MODEL,EMPTY_CANDIDATE_POOL,135,90,4,0,"{""attack"": 0.0, ""clean_post"": 0.0, ""clean_pre"": 0.0}",0,False,0,0,True
R06_SOURCE_REFIT,4ab418434ea79085746c2761a1314751b7c83a538813ae3872b3d9721a2823d4,LOEO-v1,GREEDY_OR,OP05,SRC-011,core,LOEO-v1,R02_FIXED_CACHE,R06_SOURCE_REFIT__LOEO-v1-01__GREEDY_OR__OP05__SRC-011__core,R06_SOURCE_REFIT__LOEO-v1-01__GREEDY_OR__OP05__SRC-011__core,LOEO-v1-01,b9cc9b0905b7ca12bc8b4e29a9012d12a01f9b748ff4958553c227aefa4d8e23,r03-0ca9520e6f94c3f0da785aa9,False,R06_SOURCE_REFIT__LOEO-v1-01__GREEDY_OR__OP05__SRC-011__core,expected_model_units.jsonl#R06_SOURCE_REFIT__LOEO-v1-01__GREEDY_OR__OP05__SRC-011__core,/Users/xavier/毕业设计/RBA-Cross-Device-Fingerprint/hybridguard_agent/artifacts/discriminative_rule_learning_v1_20260924/R06_sources/dispatch/jobs/R06_SOURCE_REFIT__LOEO-v1-01__GREEDY_OR__OP05__SRC-011__core/model.json,/Users/xavier/毕业设计/RBA-Cross-Device-Fingerprint/hybridguard_agent/artifacts/discriminative_rule_learning_v1_20260924/R06_sources/dispatch/jobs/R06_SOURCE_REFIT__LOEO-v1-01__GREEDY_OR__OP05__SRC-011__core/training.json,PASS,FITTED,HEURISTIC_FEASIBLE,135,90,4,0,"{""attack"": 1.0, ""clean_post"": 1.0, ""clean_pre"": 1.0}",2,True,4/13,387/1300,False
R06_SOURCE_REFIT,4ab418434ea79085746c2761a1314751b7c83a538813ae3872b3d9721a2823d4,LOEO-v1,GREEDY_OR,OP05,SRC-100,core,LOEO-v1,R02_FIXED_CACHE,R06_SOURCE_REFIT__LOEO-v1-01__GREEDY_OR__OP05__SRC-100__core,R06_SOURCE_REFIT__LOEO-v1-01__GREEDY_OR__OP05__SRC-100__core,LOEO-v1-01,b9cc9b0905b7ca12bc8b4e29a9012d12a01f9b748ff4958553c227aefa4d8e23,r03-cd7a0dbc95793a4cce705eb0,False,R06_SOURCE_REFIT__LOEO-v1-01__GREEDY_OR__OP05__SRC-100__core,expected_model_units.jsonl#R06_SOURCE_REFIT__LOEO-v1-01__GREEDY_OR__OP05__SRC-100__core,/Users/xavier/毕业设计/RBA-Cross-Device-Fingerprint/hybridguard_agent/artifacts/discriminative_rule_learning_v1_20260924/R06_sources/dispatch/jobs/R06_SOURCE_REFIT__LOEO-v1-01__GREEDY_OR__OP05__SRC-100__core/model.json,/Users/xavier/毕业设计/RBA-Cross-Device-Fingerprint/hybridguard_agent/artifacts/discriminative_rule_learning_v1_20260924/R06_sources/dispatch/jobs/R06_SOURCE_REFIT__LOEO-v1-01__GREEDY_OR__OP05__SRC-100__core/training.json,PASS,FITTED,HEURISTIC_FEASIBLE,135,90,4,0,"{""attack"": 1.0, ""clean_post"": 1.0, ""clean_pre"": 1.0}",2,True,5/13,487/1300,False
R06_SOURCE_REFIT,4ab418434ea79085746c2761a1314751b7c83a538813ae3872b3d9721a2823d4,LOEO-v1,GREEDY_OR,OP05,SRC-101,core,LOEO-v1,R02_FIXED_CACHE,R06_SOURCE_REFIT__LOEO-v1-01__GREEDY_OR__OP05__SRC-101__core,R06_SOURCE_REFIT__LOEO-v1-01__GREEDY_OR__OP05__SRC-101__core,LOEO-v1-01,b9cc9b0905b7ca12bc8b4e29a9012d12a01f9b748ff4958553c227aefa4d8e23,r03-5cbb1ba9daae9be444377295,False,R06_SOURCE_REFIT__LOEO-v1-01__GREEDY_OR__OP05__SRC-101__core,expected_model_units.jsonl#R06_SOURCE_REFIT__LOEO-v1-01__GREEDY_OR__OP05__SRC-101__core,/Users/xavier/毕业设计/RBA-Cross-Device-Fingerprint/hybridguard_agent/artifacts/discriminative_rule_learning_v1_20260924/R06_sources/dispatch/jobs/R06_SOURCE_REFIT__LOEO-v1-01__GREEDY_OR__OP05__SRC-101__core/model.json,/Users/xavier/毕业设计/RBA-Cross-Device-Fingerprint/hybridguard_agent/artifacts/discriminative_rule_learning_v1_20260924/R06_sources/dispatch/jobs/R06_SOURCE_REFIT__LOEO-v1-01__GREEDY_OR__OP05__SRC-101__core/training.json,PASS,FITTED,HEURISTIC_FEASIBLE,135,90,4,0,"{""attack"": 1.0, ""clean_post"": 1.0, ""clean_pre"": 1.0}",2,True,5/13,487/1300,False
R06_SOURCE_REFIT,4ab418434ea79085746c2761a1314751b7c83a538813ae3872b3d9721a2823d4,LOEO-v1,GREEDY_OR,OP05,SRC-110,core,LOEO-v1,R02_FIXED_CACHE,R06_SOURCE_REFIT__LOEO-v1-01__GREEDY_OR__OP05__SRC-110__core,R06_SOURCE_REFIT__LOEO-v1-01__GREEDY_OR__OP05__SRC-110__core,LOEO-v1-01,b9cc9b0905b7ca12bc8b4e29a9012d12a01f9b748ff4958553c227aefa4d8e23,r03-e0770bf8dfdc7ea0435b59d9,False,R06_SOURCE_REFIT__LOEO-v1-01__GREEDY_OR__OP05__SRC-110__core,expected_model_units.jsonl#R06_SOURCE_REFIT__LOEO-v1-01__GREEDY_OR__OP05__SRC-110__core,/Users/xavier/毕业设计/RBA-Cross-Device-Fingerprint/hybridguard_agent/artifacts/discriminative_rule_learning_v1_20260924/R06_sources/dispatch/jobs/R06_SOURCE_REFIT__LOEO-v1-01__GREEDY_OR__OP05__SRC-110__core/model.json,/Users/xavier/毕业设计/RBA-Cross-Device-Fingerprint/hybridguard_agent/artifacts/discriminative_rule_learning_v1_20260924/R06_sources/dispatch/jobs/R06_SOURCE_REFIT__LOEO-v1-01__GREEDY_OR__OP05__SRC-110__core/training.json,PASS,FITTED,HEURISTIC_FEASIBLE,135,90,4,0,"{""attack"": 1.0, ""clean_post"": 1.0, ""clean_pre"": 1.0}",2,True,5/13,487/1300,False
R06_SOURCE_REFIT,4ab418434ea79085746c2761a1314751b7c83a538813ae3872b3d9721a2823d4,LOEO-v1,GREEDY_OR,OP05,SRC-111,core,LOEO-v1,R02_FIXED_CACHE,R06_SOURCE_REFIT__LOEO-v1-01__GREEDY_OR__OP05__SRC-111__core,R05_PRIMARY__LOEO-v1-01__GREEDY_OR__OP05__SRC-111__core,LOEO-v1-01,b9cc9b0905b7ca12bc8b4e29a9012d12a01f9b748ff4958553c227aefa4d8e23,r03-32440e7ea280302890a67a73,True,R05_PRIMARY__LOEO-v1-01__GREEDY_OR__OP05__SRC-111__core,expected_model_units.jsonl#R06_SOURCE_REFIT__LOEO-v1-01__GREEDY_OR__OP05__SRC-111__core,/Users/xavier/毕业设计/RBA-Cross-Device-Fingerprint/hybridguard_agent/artifacts/discriminative_rule_learning_v1_20260924/R05_primary/dispatch/jobs/R05_PRIMARY__LOEO-v1-01__GREEDY_OR__OP05__SRC-111__core/model.json,/Users/xavier/毕业设计/RBA-Cross-Device-Fingerprint/hybridguard_agent/artifacts/discriminative_rule_learning_v1_20260924/R05_primary/dispatch/jobs/R05_PRIMARY__LOEO-v1-01__GREEDY_OR__OP05__SRC-111__core/training.json,PASS,FITTED,HEURISTIC_FEASIBLE,135,90,4,0,"{""attack"": 1.0, ""clean_post"": 1.0, ""clean_pre"": 1.0}",2,True,5/13,487/1300,False
R06_SOURCE_REFIT,4ab418434ea79085746c2761a1314751b7c83a538813ae3872b3d9721a2823d4,LOEO-v1,GREEDY_OR,OP05,SRC-000,core,LOEO-v1,R02_FIXED_CACHE,R06_SOURCE_REFIT__LOEO-v1-02__GREEDY_OR__OP05__SRC-000__core,R06_SOURCE_REFIT__LOEO-v1-02__GREEDY_OR__OP05__SRC-000__core,LOEO-v1-02,91ca3c81351a9f36d1217438d95d06b37fb0eb59fa13fdb6acdf12168cd51e0c,r03-ae26134ee04fa9ba95b013e7,False,R06_SOURCE_REFIT__LOEO-v1-02__GREEDY_OR__OP05__SRC-000__core,expected_model_units.jsonl#R06_SOURCE_REFIT__LOEO-v1-02__GREEDY_OR__OP05__SRC-000__core,/Users/xavier/毕业设计/RBA-Cross-Device-Fingerprint/hybridguard_agent/artifacts/discriminative_rule_learning_v1_20260924/R06_sources/dispatch/jobs/R06_SOURCE_REFIT__LOEO-v1-02__GREEDY_OR__OP05__SRC-000__core/model.json,/Users/xavier/毕业设计/RBA-Cross-Device-Fingerprint/hybridguard_agent/artifacts/discriminative_rule_learning_v1_20260924/R06_sources/dispatch/jobs/R06_SOURCE_REFIT__LOEO-v1-02__GREEDY_OR__OP05__SRC-000__core/training.json,PASS,EMPTY_MODEL,EMPTY_CANDIDATE_POOL,144,96,4,0,"{""attack"": 0.0, ""clean_post"": 0.0, ""clean_pre"": 0.0}",0,False,0,0,True
R06_SOURCE_REFIT,4ab418434ea79085746c2761a1314751b7c83a538813ae3872b3d9721a2823d4,LOEO-v1,GREEDY_OR,OP05,SRC-001,core,LOEO-v1,R02_FIXED_CACHE,R06_SOURCE_REFIT__LOEO-v1-02__GREEDY_OR__OP05__SRC-001__core,R06_SOURCE_REFIT__LOEO-v1-02__GREEDY_OR__OP05__SRC-001__core,LOEO-v1-02,91ca3c81351a9f36d1217438d95d06b37fb0eb59fa13fdb6acdf12168cd51e0c,r03-8b18da1bfdce0887bef97883,False,R06_SOURCE_REFIT__LOEO-v1-02__GREEDY_OR__OP05__SRC-001__core,expected_model_units.jsonl#R06_SOURCE_REFIT__LOEO-v1-02__GREEDY_OR__OP05__SRC-001__core,/Users/xavier/毕业设计/RBA-Cross-Device-Fingerprint/hybridguard_agent/artifacts/discriminative_rule_learning_v1_20260924/R06_sources/dispatch/jobs/R06_SOURCE_REFIT__LOEO-v1-02__GREEDY_OR__OP05__SRC-001__core/model.json,/Users/xavier/毕业设计/RBA-Cross-Device-Fingerprint/hybridguard_agent/artifacts/discriminative_rule_learning_v1_20260924/R06_sources/dispatch/jobs/R06_SOURCE_REFIT__LOEO-v1-02__GREEDY_OR__OP05__SRC-001__core/training.json,PASS,FITTED,HEURISTIC_FEASIBLE,144,96,4,0,"{""attack"": 1.0, ""clean_post"": 1.0, ""clean_pre"": 1.0}",2,True,5/14,243/700,False
