representation,fold_id,phase,raw_flat_inputs,canonical_core_atoms,encoded_atoms,registered_literals,support_eligible_literals,available_candidate_cells,expected_candidate_cells,failed_candidate_cells
S_FLAT,LOEO-v1-01,clean_pre,143,0,153,306,184,1359,1377,0
S_FLAT,LOEO-v1-01,attack,143,0,153,306,184,1353,1377,0
S_FLAT,LOEO-v1-01,clean_post,143,0,153,306,184,1359,1377,0
S_FLAT,LOEO-v1-02,clean_pre,143,0,153,306,185,906,918,0
S_FLAT,LOEO-v1-02,attack,143,0,153,306,185,903,918,0
S_FLAT,LOEO-v1-02,clean_post,143,0,153,306,185,906,918,0
S_FLAT,LOEO-v1-03,clean_pre,143,0,165,330,199,6357,6435,0
S_FLAT,LOEO-v1-03,attack,143,0,165,330,199,6345,6435,0
S_FLAT,LOEO-v1-03,clean_post,143,0,165,330,199,6357,6435,0
J0,LOEO-v1-01,clean_pre,143,10,163,326,197,1440,1467,0
J0,LOEO-v1-01,attack,143,10,163,326,197,1422,1467,0
J0,LOEO-v1-01,clean_post,143,10,163,326,197,1440,1467,0
J0,LOEO-v1-02,clean_pre,143,10,163,326,198,960,978,0
J0,LOEO-v1-02,attack,143,10,163,326,198,951,978,0
J0,LOEO-v1-02,clean_post,143,10,163,326,198,960,978,0
J0,LOEO-v1-03,clean_pre,143,10,175,350,212,6708,6825,0
J0,LOEO-v1-03,attack,143,10,175,350,212,6672,6825,0
J0,LOEO-v1-03,clean_post,143,10,175,350,212,6708,6825,0
