experiment_id,split_id,fold_id,method_id,operating_point,source_condition,input_view,model_unit_id,source_model_unit_id,model_id,is_exact_reuse,opaque_id,decision,logical_state,model_status,manual_semantic_review,current_field_semantics,scientific_independent_stage_key,model_stage_link_key,prediction_ref,input_cache_ref,triggered_clause_ids,status,field_n,literal_explanation_status,error
R05_PRIMARY,LOEO-v1,LOEO-v1-01,ALWAYS_ABSTAIN,NOT_APPLICABLE,SRC-111,core,R05_PRIMARY__LOEO-v1-01__ALWAYS_ABSTAIN__NOT_APPLICABLE__SRC-111__core,R05_PRIMARY__LOEO-v1-01__ALWAYS_ABSTAIN__NOT_APPLICABLE__SRC-111__core,r03-d4fc509623881c842a5114dc,False,sample-04689a7774754137a06fc672c9a34627,INSUFFICIENT_EVIDENCE,U,FIXED,NOT_REVIEWED,NOT_REVIEWED_ORIGINAL_MEASUREMENT_MANUAL_CHECK,sample-04689a7774754137a06fc672c9a34627,r03-d4fc509623881c842a5114dc:sample-04689a7774754137a06fc672c9a34627,/Users/xavier/毕业设计/RBA-Cross-Device-Fingerprint/hybridguard_agent/artifacts/discriminative_rule_learning_v1_20260924/R05_primary/dispatch/jobs/R05_PRIMARY__LOEO-v1-01__ALWAYS_ABSTAIN__NOT_APPLICABLE__SRC-111__core/predictions.jsonl,/Users/xavier/毕业设计/RBA-Cross-Device-Fingerprint/hybridguard_agent/artifacts/discriminative_rule_learning_v1_20260924/R04_freeze_r1/data/current/sample-04689a7774754137a06fc672c9a34627.json,[],PASS_CONSTANT,0,PROGRAMMATICALLY_CHECKED,null
R05_PRIMARY,LOEO-v1,LOEO-v1-01,ALWAYS_ABSTAIN,NOT_APPLICABLE,SRC-111,core,R05_PRIMARY__LOEO-v1-01__ALWAYS_ABSTAIN__NOT_APPLICABLE__SRC-111__core,R05_PRIMARY__LOEO-v1-01__ALWAYS_ABSTAIN__NOT_APPLICABLE__SRC-111__core,r03-d4fc509623881c842a5114dc,False,sample-0bffc108cdcd46498c072fd18758b023,INSUFFICIENT_EVIDENCE,U,FIXED,NOT_REVIEWED,NOT_REVIEWED_ORIGINAL_MEASUREMENT_MANUAL_CHECK,sample-0bffc108cdcd46498c072fd18758b023,r03-d4fc509623881c842a5114dc:sample-0bffc108cdcd46498c072fd18758b023,/Users/xavier/毕业设计/RBA-Cross-Device-Fingerprint/hybridguard_agent/artifacts/discriminative_rule_learning_v1_20260924/R05_primary/dispatch/jobs/R05_PRIMARY__LOEO-v1-01__ALWAYS_ABSTAIN__NOT_APPLICABLE__SRC-111__core/predictions.jsonl,/Users/xavier/毕业设计/RBA-Cross-Device-Fingerprint/hybridguard_agent/artifacts/discriminative_rule_learning_v1_20260924/R04_freeze_r1/data/current/sample-0bffc108cdcd46498c072fd18758b023.json,[],PASS_CONSTANT,0,PROGRAMMATICALLY_CHECKED,null
R05_PRIMARY,LOEO-v1,LOEO-v1-01,ALWAYS_ABSTAIN,NOT_APPLICABLE,SRC-111,core,R05_PRIMARY__LOEO-v1-01__ALWAYS_ABSTAIN__NOT_APPLICABLE__SRC-111__core,R05_PRIMARY__LOEO-v1-01__ALWAYS_ABSTAIN__NOT_APPLICABLE__SRC-111__core,r03-d4fc509623881c842a5114dc,False,sample-120e3c4d39f547b5a9ea2dd62196c7f6,INSUFFICIENT_EVIDENCE,U,FIXED,NOT_REVIEWED,NOT_REVIEWED_ORIGINAL_MEASUREMENT_MANUAL_CHECK,sample-120e3c4d39f547b5a9ea2dd62196c7f6,r03-d4fc509623881c842a5114dc:sample-120e3c4d39f547b5a9ea2dd62196c7f6,/Users/xavier/毕业设计/RBA-Cross-Device-Fingerprint/hybridguard_agent/artifacts/discriminative_rule_learning_v1_20260924/R05_primary/dispatch/jobs/R05_PRIMARY__LOEO-v1-01__ALWAYS_ABSTAIN__NOT_APPLICABLE__SRC-111__core/predictions.jsonl,/Users/xavier/毕业设计/RBA-Cross-Device-Fingerprint/hybridguard_agent/artifacts/discriminative_rule_learning_v1_20260924/R04_freeze_r1/data/current/sample-120e3c4d39f547b5a9ea2dd62196c7f6.json,[],PASS_CONSTANT,0,PROGRAMMATICALLY_CHECKED,null
R05_PRIMARY,LOEO-v1,LOEO-v1-01,ALWAYS_ABSTAIN,NOT_APPLICABLE,SRC-111,core,R05_PRIMARY__LOEO-v1-01__ALWAYS_ABSTAIN__NOT_APPLICABLE__SRC-111__core,R05_PRIMARY__LOEO-v1-01__ALWAYS_ABSTAIN__NOT_APPLICABLE__SRC-111__core,r03-d4fc509623881c842a5114dc,False,sample-22af7231c85d4cc39f29e370761b0111,INSUFFICIENT_EVIDENCE,U,FIXED,NOT_REVIEWED,NOT_REVIEWED_ORIGINAL_MEASUREMENT_MANUAL_CHECK,sample-22af7231c85d4cc39f29e370761b0111,r03-d4fc509623881c842a5114dc:sample-22af7231c85d4cc39f29e370761b0111,/Users/xavier/毕业设计/RBA-Cross-Device-Fingerprint/hybridguard_agent/artifacts/discriminative_rule_learning_v1_20260924/R05_primary/dispatch/jobs/R05_PRIMARY__LOEO-v1-01__ALWAYS_ABSTAIN__NOT_APPLICABLE__SRC-111__core/predictions.jsonl,/Users/xavier/毕业设计/RBA-Cross-Device-Fingerprint/hybridguard_agent/artifacts/discriminative_rule_learning_v1_20260924/R04_freeze_r1/data/current/sample-22af7231c85d4cc39f29e370761b0111.json,[],PASS_CONSTANT,0,PROGRAMMATICALLY_CHECKED,null
R05_PRIMARY,LOEO-v1,LOEO-v1-01,ALWAYS_ABSTAIN,NOT_APPLICABLE,SRC-111,core,R05_PRIMARY__LOEO-v1-01__ALWAYS_ABSTAIN__NOT_APPLICABLE__SRC-111__core,R05_PRIMARY__LOEO-v1-01__ALWAYS_ABSTAIN__NOT_APPLICABLE__SRC-111__core,r03-d4fc509623881c842a5114dc,False,sample-22ed5502a1a24385bef4cb91046e3683,INSUFFICIENT_EVIDENCE,U,FIXED,NOT_REVIEWED,NOT_REVIEWED_ORIGINAL_MEASUREMENT_MANUAL_CHECK,sample-22ed5502a1a24385bef4cb91046e3683,r03-d4fc509623881c842a5114dc:sample-22ed5502a1a24385bef4cb91046e3683,/Users/xavier/毕业设计/RBA-Cross-Device-Fingerprint/hybridguard_agent/artifacts/discriminative_rule_learning_v1_20260924/R05_primary/dispatch/jobs/R05_PRIMARY__LOEO-v1-01__ALWAYS_ABSTAIN__NOT_APPLICABLE__SRC-111__core/predictions.jsonl,/Users/xavier/毕业设计/RBA-Cross-Device-Fingerprint/hybridguard_agent/artifacts/discriminative_rule_learning_v1_20260924/R04_freeze_r1/data/current/sample-22ed5502a1a24385bef4cb91046e3683.json,[],PASS_CONSTANT,0,PROGRAMMATICALLY_CHECKED,null
R05_PRIMARY,LOEO-v1,LOEO-v1-01,ALWAYS_ABSTAIN,NOT_APPLICABLE,SRC-111,core,R05_PRIMARY__LOEO-v1-01__ALWAYS_ABSTAIN__NOT_APPLICABLE__SRC-111__core,R05_PRIMARY__LOEO-v1-01__ALWAYS_ABSTAIN__NOT_APPLICABLE__SRC-111__core,r03-d4fc509623881c842a5114dc,False,sample-3e78f40f8bd04583b5788feff41ee1b2,INSUFFICIENT_EVIDENCE,U,FIXED,NOT_REVIEWED,NOT_REVIEWED_ORIGINAL_MEASUREMENT_MANUAL_CHECK,sample-3e78f40f8bd04583b5788feff41ee1b2,r03-d4fc509623881c842a5114dc:sample-3e78f40f8bd04583b5788feff41ee1b2,/Users/xavier/毕业设计/RBA-Cross-Device-Fingerprint/hybridguard_agent/artifacts/discriminative_rule_learning_v1_20260924/R05_primary/dispatch/jobs/R05_PRIMARY__LOEO-v1-01__ALWAYS_ABSTAIN__NOT_APPLICABLE__SRC-111__core/predictions.jsonl,/Users/xavier/毕业设计/RBA-Cross-Device-Fingerprint/hybridguard_agent/artifacts/discriminative_rule_learning_v1_20260924/R04_freeze_r1/data/current/sample-3e78f40f8bd04583b5788feff41ee1b2.json,[],PASS_CONSTANT,0,PROGRAMMATICALLY_CHECKED,null
R05_PRIMARY,LOEO-v1,LOEO-v1-01,ALWAYS_ABSTAIN,NOT_APPLICABLE,SRC-111,core,R05_PRIMARY__LOEO-v1-01__ALWAYS_ABSTAIN__NOT_APPLICABLE__SRC-111__core,R05_PRIMARY__LOEO-v1-01__ALWAYS_ABSTAIN__NOT_APPLICABLE__SRC-111__core,r03-d4fc509623881c842a5114dc,False,sample-45096de3c57844d5a2bdf29d9aa66349,INSUFFICIENT_EVIDENCE,U,FIXED,NOT_REVIEWED,NOT_REVIEWED_ORIGINAL_MEASUREMENT_MANUAL_CHECK,sample-45096de3c57844d5a2bdf29d9aa66349,r03-d4fc509623881c842a5114dc:sample-45096de3c57844d5a2bdf29d9aa66349,/Users/xavier/毕业设计/RBA-Cross-Device-Fingerprint/hybridguard_agent/artifacts/discriminative_rule_learning_v1_20260924/R05_primary/dispatch/jobs/R05_PRIMARY__LOEO-v1-01__ALWAYS_ABSTAIN__NOT_APPLICABLE__SRC-111__core/predictions.jsonl,/Users/xavier/毕业设计/RBA-Cross-Device-Fingerprint/hybridguard_agent/artifacts/discriminative_rule_learning_v1_20260924/R04_freeze_r1/data/current/sample-45096de3c57844d5a2bdf29d9aa66349.json,[],PASS_CONSTANT,0,PROGRAMMATICALLY_CHECKED,null
R05_PRIMARY,LOEO-v1,LOEO-v1-01,ALWAYS_ABSTAIN,NOT_APPLICABLE,SRC-111,core,R05_PRIMARY__LOEO-v1-01__ALWAYS_ABSTAIN__NOT_APPLICABLE__SRC-111__core,R05_PRIMARY__LOEO-v1-01__ALWAYS_ABSTAIN__NOT_APPLICABLE__SRC-111__core,r03-d4fc509623881c842a5114dc,False,sample-50047e752ee34cadb1371d0d6bc8306f,INSUFFICIENT_EVIDENCE,U,FIXED,NOT_REVIEWED,NOT_REVIEWED_ORIGINAL_MEASUREMENT_MANUAL_CHECK,sample-50047e752ee34cadb1371d0d6bc8306f,r03-d4fc509623881c842a5114dc:sample-50047e752ee34cadb1371d0d6bc8306f,/Users/xavier/毕业设计/RBA-Cross-Device-Fingerprint/hybridguard_agent/artifacts/discriminative_rule_learning_v1_20260924/R05_primary/dispatch/jobs/R05_PRIMARY__LOEO-v1-01__ALWAYS_ABSTAIN__NOT_APPLICABLE__SRC-111__core/predictions.jsonl,/Users/xavier/毕业设计/RBA-Cross-Device-Fingerprint/hybridguard_agent/artifacts/discriminative_rule_learning_v1_20260924/R04_freeze_r1/data/current/sample-50047e752ee34cadb1371d0d6bc8306f.json,[],PASS_CONSTANT,0,PROGRAMMATICALLY_CHECKED,null
R05_PRIMARY,LOEO-v1,LOEO-v1-01,ALWAYS_ABSTAIN,NOT_APPLICABLE,SRC-111,core,R05_PRIMARY__LOEO-v1-01__ALWAYS_ABSTAIN__NOT_APPLICABLE__SRC-111__core,R05_PRIMARY__LOEO-v1-01__ALWAYS_ABSTAIN__NOT_APPLICABLE__SRC-111__core,r03-d4fc509623881c842a5114dc,False,sample-50cbd0648d2e4f378532f8697492cdd3,INSUFFICIENT_EVIDENCE,U,FIXED,NOT_REVIEWED,NOT_REVIEWED_ORIGINAL_MEASUREMENT_MANUAL_CHECK,sample-50cbd0648d2e4f378532f8697492cdd3,r03-d4fc509623881c842a5114dc:sample-50cbd0648d2e4f378532f8697492cdd3,/Users/xavier/毕业设计/RBA-Cross-Device-Fingerprint/hybridguard_agent/artifacts/discriminative_rule_learning_v1_20260924/R05_primary/dispatch/jobs/R05_PRIMARY__LOEO-v1-01__ALWAYS_ABSTAIN__NOT_APPLICABLE__SRC-111__core/predictions.jsonl,/Users/xavier/毕业设计/RBA-Cross-Device-Fingerprint/hybridguard_agent/artifacts/discriminative_rule_learning_v1_20260924/R04_freeze_r1/data/current/sample-50cbd0648d2e4f378532f8697492cdd3.json,[],PASS_CONSTANT,0,PROGRAMMATICALLY_CHECKED,null
R05_PRIMARY,LOEO-v1,LOEO-v1-01,ALWAYS_ABSTAIN,NOT_APPLICABLE,SRC-111,core,R05_PRIMARY__LOEO-v1-01__ALWAYS_ABSTAIN__NOT_APPLICABLE__SRC-111__core,R05_PRIMARY__LOEO-v1-01__ALWAYS_ABSTAIN__NOT_APPLICABLE__SRC-111__core,r03-d4fc509623881c842a5114dc,False,sample-5aa4e9a6c7bf4de8b6bd41a854026c05,INSUFFICIENT_EVIDENCE,U,FIXED,NOT_REVIEWED,NOT_REVIEWED_ORIGINAL_MEASUREMENT_MANUAL_CHECK,sample-5aa4e9a6c7bf4de8b6bd41a854026c05,r03-d4fc509623881c842a5114dc:sample-5aa4e9a6c7bf4de8b6bd41a854026c05,/Users/xavier/毕业设计/RBA-Cross-Device-Fingerprint/hybridguard_agent/artifacts/discriminative_rule_learning_v1_20260924/R05_primary/dispatch/jobs/R05_PRIMARY__LOEO-v1-01__ALWAYS_ABSTAIN__NOT_APPLICABLE__SRC-111__core/predictions.jsonl,/Users/xavier/毕业设计/RBA-Cross-Device-Fingerprint/hybridguard_agent/artifacts/discriminative_rule_learning_v1_20260924/R04_freeze_r1/data/current/sample-5aa4e9a6c7bf4de8b6bd41a854026c05.json,[],PASS_CONSTANT,0,PROGRAMMATICALLY_CHECKED,null
