spec_id,fold_id,encoded_atoms_before_support,registered_literals_before_support,support_eligible_literals,selected_clauses,complexity,not_selected_reason_counts
C0,LOEO-v1-01,10,20,13,1,2,
C0,LOEO-v1-02,10,20,13,1,2,
C0,LOEO-v1-03,10,20,13,1,2,
W0,LOEO-v1-01,49,98,68,6,12,
W0,LOEO-v1-02,49,98,69,6,12,
W0,LOEO-v1-03,56,112,74,1,2,
S_FLAT,LOEO-v1-01,153,306,184,6,12,"{""INSUFFICIENT_TRAIN_SUPPORT"": 122}"
S_FLAT,LOEO-v1-02,153,306,185,6,12,"{""INSUFFICIENT_TRAIN_SUPPORT"": 121}"
S_FLAT,LOEO-v1-03,165,330,199,1,2,"{""INSUFFICIENT_TRAIN_SUPPORT"": 131}"
J0,LOEO-v1-01,163,326,197,6,12,"{""INSUFFICIENT_TRAIN_SUPPORT"": 129}"
J0,LOEO-v1-02,163,326,198,6,12,"{""INSUFFICIENT_TRAIN_SUPPORT"": 128}"
J0,LOEO-v1-03,175,350,212,1,2,"{""INSUFFICIENT_TRAIN_SUPPORT"": 138}"
W0__R_KEEP_V1,LOEO-v1-01,49,98,68,6,12,"{""STRUCTURE_OR_FAMILY_LIMIT"": 62, ""SET_CLEAN_BUDGET"": 51, ""INSUFFICIENT_TRAIN_SUPPORT"": 30, ""NO_NEW_SIGNAL_COVERAGE"": 5}"
W0__R_KEEP_V1,LOEO-v1-02,49,98,69,6,12,"{""STRUCTURE_OR_FAMILY_LIMIT"": 63, ""SET_CLEAN_BUDGET"": 52, ""INSUFFICIENT_TRAIN_SUPPORT"": 29, ""NO_NEW_SIGNAL_COVERAGE"": 5}"
W0__R_KEEP_V1,LOEO-v1-03,56,112,74,6,12,"{""STRUCTURE_OR_FAMILY_LIMIT"": 68, ""SET_CLEAN_BUDGET"": 62, ""INSUFFICIENT_TRAIN_SUPPORT"": 38, ""NO_NEW_SIGNAL_COVERAGE"": 7}"
S_FLAT__R_KEEP_V1,LOEO-v1-01,153,306,184,6,12,"{""INSUFFICIENT_TRAIN_SUPPORT"": 122, ""STRUCTURE_OR_FAMILY_LIMIT"": 178, ""SET_CLEAN_BUDGET"": 167, ""NO_NEW_SIGNAL_COVERAGE"": 5}"
S_FLAT__R_KEEP_V1,LOEO-v1-02,153,306,185,6,12,"{""INSUFFICIENT_TRAIN_SUPPORT"": 121, ""STRUCTURE_OR_FAMILY_LIMIT"": 179, ""SET_CLEAN_BUDGET"": 168, ""NO_NEW_SIGNAL_COVERAGE"": 5}"
S_FLAT__R_KEEP_V1,LOEO-v1-03,165,330,199,6,12,"{""INSUFFICIENT_TRAIN_SUPPORT"": 131, ""STRUCTURE_OR_FAMILY_LIMIT"": 193, ""SET_CLEAN_BUDGET"": 187, ""NO_NEW_SIGNAL_COVERAGE"": 7}"
J0__R_KEEP_V1,LOEO-v1-01,163,326,197,6,12,"{""INSUFFICIENT_TRAIN_SUPPORT"": 129, ""STRUCTURE_OR_FAMILY_LIMIT"": 191, ""SET_CLEAN_BUDGET"": 176, ""NO_NEW_SIGNAL_COVERAGE"": 9}"
J0__R_KEEP_V1,LOEO-v1-02,163,326,198,6,12,"{""INSUFFICIENT_TRAIN_SUPPORT"": 128, ""STRUCTURE_OR_FAMILY_LIMIT"": 192, ""SET_CLEAN_BUDGET"": 177, ""NO_NEW_SIGNAL_COVERAGE"": 9}"
J0__R_KEEP_V1,LOEO-v1-03,175,350,212,6,12,"{""INSUFFICIENT_TRAIN_SUPPORT"": 138, ""STRUCTURE_OR_FAMILY_LIMIT"": 206, ""SET_CLEAN_BUDGET"": 196, ""NO_NEW_SIGNAL_COVERAGE"": 11}"
CX__GREEDY_OR,LOEO-v1-01,15,30,22,4,8,"{""SET_CLEAN_BUDGET"": 15, ""FINAL_SET_CONSTRAINT"": 15, ""INSUFFICIENT_TRAIN_SUPPORT"": 8, ""STRUCTURE_OR_FAMILY_LIMIT"": 4, ""NO_POSITIVE_SPARSE_OBJECTIVE_GAIN"": 3}"
CX__GREEDY_OR,LOEO-v1-02,16,32,24,3,6,"{""SET_CLEAN_BUDGET"": 18, ""FINAL_SET_CONSTRAINT"": 18, ""INSUFFICIENT_TRAIN_SUPPORT"": 8, ""STRUCTURE_OR_FAMILY_LIMIT"": 3, ""NO_POSITIVE_SPARSE_OBJECTIVE_GAIN"": 3}"
CX__GREEDY_OR,LOEO-v1-03,15,30,20,1,2,"{""SET_CLEAN_BUDGET"": 15, ""FINAL_SET_CONSTRAINT"": 15, ""INSUFFICIENT_TRAIN_SUPPORT"": 10, ""STRUCTURE_OR_FAMILY_LIMIT"": 1, ""NO_POSITIVE_SPARSE_OBJECTIVE_GAIN"": 4}"
JX__GREEDY_OR,LOEO-v1-01,168,336,206,6,12,"{""INSUFFICIENT_TRAIN_SUPPORT"": 130, ""STRUCTURE_OR_FAMILY_LIMIT"": 200, ""SET_CLEAN_BUDGET"": 182, ""FINAL_SET_CONSTRAINT"": 200, ""NO_POSITIVE_SPARSE_OBJECTIVE_GAIN"": 24}"
JX__GREEDY_OR,LOEO-v1-02,169,338,209,6,12,"{""INSUFFICIENT_TRAIN_SUPPORT"": 129, ""STRUCTURE_OR_FAMILY_LIMIT"": 203, ""SET_CLEAN_BUDGET"": 186, ""FINAL_SET_CONSTRAINT"": 203, ""NO_POSITIVE_SPARSE_OBJECTIVE_GAIN"": 26}"
