representation,fold_id,phase,encoded_atoms,registered_literals,support_eligible_literals,available_candidate_cells,expected_candidate_cells,failed_candidate_cells
C0,LOEO-v1-01,clean_pre,10,20,13,81,90,0
C0,LOEO-v1-01,attack,10,20,13,69,90,0
C0,LOEO-v1-01,clean_post,10,20,13,81,90,0
C0,LOEO-v1-02,clean_pre,10,20,13,54,60,0
C0,LOEO-v1-02,attack,10,20,13,48,60,0
C0,LOEO-v1-02,clean_post,10,20,13,54,60,0
C0,LOEO-v1-03,clean_pre,10,20,13,351,390,0
C0,LOEO-v1-03,attack,10,20,13,327,390,0
C0,LOEO-v1-03,clean_post,10,20,13,351,390,0
W0,LOEO-v1-01,clean_pre,49,98,68,441,441,0
W0,LOEO-v1-01,attack,49,98,68,435,441,0
W0,LOEO-v1-01,clean_post,49,98,68,441,441,0
W0,LOEO-v1-02,clean_pre,49,98,69,294,294,0
W0,LOEO-v1-02,attack,49,98,69,291,294,0
W0,LOEO-v1-02,clean_post,49,98,69,294,294,0
W0,LOEO-v1-03,clean_pre,56,112,74,2184,2184,0
W0,LOEO-v1-03,attack,56,112,74,2172,2184,0
W0,LOEO-v1-03,clean_post,56,112,74,2184,2184,0
