boolean_only_ns,cached_input_read_parse_ns,command,decision,error,explanation_only_ns,fixed_feature_conversion_ns,fold_id,input_ref,input_view,ipc_request_response_inclusive_ns,kind,logical_state,method_id,model_id,opaque_id,operating_point,pass_number,phase,pid,predict_including_explanation_and_model_integrity_ns,prediction_serialization_ns,record_role,sample_inclusive_ns,semantic_sha256,semantic_verification_ns,separate_boolean_explanation_status,sequence,source_condition,status,utc
null,82000,PREDICT,NO_ALERT,null,null,54125,LOEO-v1-03,/Users/xavier/毕业设计/RBA-Cross-Device-Fingerprint/hybridguard_agent/artifacts/discriminative_rule_learning_v1_20260924/R04_freeze_r1/data/current/sample-026c9c82f8e544008d21f45281871ae6.json,core,236791,SAMPLE,F,GREEDY_OR,r03-016f41d7f421b218512d7262,sample-026c9c82f8e544008d21f45281871ae6,OP05,1,TIMED,14989,52042,10666,BENCHMARK_ONLY,203792,c0735e682c225fa3d8bb306f499eafd87e314d496384c732a30e8bdaf0742190,2291,NOT_RECORDED_INTERLEAVED_FROZEN_PREDICTOR,325,SRC-111,MATCH,2026-09-24T16:24:43.313025+00:00
null,82250,PREDICT,NO_ALERT,null,null,53959,LOEO-v1-03,/Users/xavier/毕业设计/RBA-Cross-Device-Fingerprint/hybridguard_agent/artifacts/discriminative_rule_learning_v1_20260924/R04_freeze_r1/data/current/sample-03c6dc75f1db4e92baecc6a7c70a5f02.json,core,228334,SAMPLE,F,GREEDY_OR,r03-016f41d7f421b218512d7262,sample-03c6dc75f1db4e92baecc6a7c70a5f02,OP05,1,TIMED,14989,50166,10375,BENCHMARK_ONLY,200875,d1449fac88438d94e85f563255bdbb141910675c4125f225df721fc928cb7fba,1500,NOT_RECORDED_INTERLEAVED_FROZEN_PREDICTOR,326,SRC-111,MATCH,2026-09-24T16:24:43.313271+00:00
null,94000,PREDICT,NO_ALERT,null,null,58208,LOEO-v1-01,/Users/xavier/毕业设计/RBA-Cross-Device-Fingerprint/hybridguard_agent/artifacts/discriminative_rule_learning_v1_20260924/R04_freeze_r1/data/current/sample-04689a7774754137a06fc672c9a34627.json,core,280541,SAMPLE,F,GREEDY_OR,r03-32440e7ea280302890a67a73,sample-04689a7774754137a06fc672c9a34627,OP05,1,TIMED,14987,77042,12625,BENCHMARK_ONLY,246958,df637744c96afcb9f41dcc0ba293c7aba23327436b164c87e7accbf10b6a02ff,2208,NOT_RECORDED_INTERLEAVED_FROZEN_PREDICTOR,327,SRC-111,MATCH,2026-09-24T16:24:43.313520+00:00
null,93875,PREDICT,NO_ALERT,null,null,61875,LOEO-v1-02,/Users/xavier/毕业设计/RBA-Cross-Device-Fingerprint/hybridguard_agent/artifacts/discriminative_rule_learning_v1_20260924/R04_freeze_r1/data/current/sample-065c905ccda7420eb2d26ede92451811.json,core,304625,SAMPLE,F,GREEDY_OR,r03-473f47463b00eb7aea74f493,sample-065c905ccda7420eb2d26ede92451811,OP05,1,TIMED,14988,93958,12166,BENCHMARK_ONLY,267500,3617f20fe38751710b6e526daca51ed83276a714608ee4a01101784c0590a6f7,2542,NOT_RECORDED_INTERLEAVED_FROZEN_PREDICTOR,328,SRC-111,MATCH,2026-09-24T16:24:43.313814+00:00
null,82708,PREDICT,NO_ALERT,null,null,54583,LOEO-v1-03,/Users/xavier/毕业设计/RBA-Cross-Device-Fingerprint/hybridguard_agent/artifacts/discriminative_rule_learning_v1_20260924/R04_freeze_r1/data/current/sample-0b26e99122a54a5699dbf3786325561c.json,core,234042,SAMPLE,F,GREEDY_OR,r03-016f41d7f421b218512d7262,sample-0b26e99122a54a5699dbf3786325561c,OP05,1,TIMED,14989,52250,10375,BENCHMARK_ONLY,203917,7daace2b6a00e68d86145e5df69fe02dfde6f96bd95e6eb21dd947b683f0f379,1292,NOT_RECORDED_INTERLEAVED_FROZEN_PREDICTOR,329,SRC-111,MATCH,2026-09-24T16:24:43.314130+00:00
null,87125,PREDICT,NO_ALERT,null,null,57125,LOEO-v1-01,/Users/xavier/毕业设计/RBA-Cross-Device-Fingerprint/hybridguard_agent/artifacts/discriminative_rule_learning_v1_20260924/R04_freeze_r1/data/current/sample-0bffc108cdcd46498c072fd18758b023.json,core,264458,SAMPLE,F,GREEDY_OR,r03-32440e7ea280302890a67a73,sample-0bffc108cdcd46498c072fd18758b023,OP05,1,TIMED,14987,73167,11709,BENCHMARK_ONLY,233292,774acfde6f683cc77b02d6747a42c5790380f95bfdb4021c78533fa64dad349d,1417,NOT_RECORDED_INTERLEAVED_FROZEN_PREDICTOR,330,SRC-111,MATCH,2026-09-24T16:24:43.314379+00:00
null,82375,PREDICT,NO_ALERT,null,null,54250,LOEO-v1-03,/Users/xavier/毕业设计/RBA-Cross-Device-Fingerprint/hybridguard_agent/artifacts/discriminative_rule_learning_v1_20260924/R04_freeze_r1/data/current/sample-0c95698111ae406d9ea186860a67bd74.json,core,230000,SAMPLE,F,GREEDY_OR,r03-016f41d7f421b218512d7262,sample-0c95698111ae406d9ea186860a67bd74,OP05,1,TIMED,14989,51209,10375,BENCHMARK_ONLY,202209,52c1e70e5478cc38f154534e5cd93dc9470ff819687ac271620bac811d65b440,1417,NOT_RECORDED_INTERLEAVED_FROZEN_PREDICTOR,331,SRC-111,MATCH,2026-09-24T16:24:43.314653+00:00
null,80916,PREDICT,NO_ALERT,null,null,53125,LOEO-v1-03,/Users/xavier/毕业设计/RBA-Cross-Device-Fingerprint/hybridguard_agent/artifacts/discriminative_rule_learning_v1_20260924/R04_freeze_r1/data/current/sample-0cf60a3c6df34e538cbe239df2893a6f.json,core,232458,SAMPLE,F,GREEDY_OR,r03-016f41d7f421b218512d7262,sample-0cf60a3c6df34e538cbe239df2893a6f,OP05,1,TIMED,14989,52542,11125,BENCHMARK_ONLY,201500,c4f1b46ed716716e166cf693a7aab11bee7194e69ad0a9a52662bcfe46f9458b,1333,NOT_RECORDED_INTERLEAVED_FROZEN_PREDICTOR,332,SRC-111,MATCH,2026-09-24T16:24:43.314893+00:00
null,81458,PREDICT,NO_ALERT,null,null,51709,LOEO-v1-03,/Users/xavier/毕业设计/RBA-Cross-Device-Fingerprint/hybridguard_agent/artifacts/discriminative_rule_learning_v1_20260924/R04_freeze_r1/data/current/sample-0d231b950599443c8bc22fb483a9f2fa.json,core,223750,SAMPLE,F,GREEDY_OR,r03-016f41d7f421b218512d7262,sample-0d231b950599443c8bc22fb483a9f2fa,OP05,1,TIMED,14989,49375,10500,BENCHMARK_ONLY,196833,6550ede979da2e7a7ae72d90e451991c48bcbd24f243c5ae6f7aa6848dec8d55,1208,NOT_RECORDED_INTERLEAVED_FROZEN_PREDICTOR,333,SRC-111,MATCH,2026-09-24T16:24:43.315137+00:00
null,81208,PREDICT,NO_ALERT,null,null,51500,LOEO-v1-03,/Users/xavier/毕业设计/RBA-Cross-Device-Fingerprint/hybridguard_agent/artifacts/discriminative_rule_learning_v1_20260924/R04_freeze_r1/data/current/sample-0ee74dfbc8114447b5112a316a588e94.json,core,223000,SAMPLE,F,GREEDY_OR,r03-016f41d7f421b218512d7262,sample-0ee74dfbc8114447b5112a316a588e94,OP05,1,TIMED,14989,49125,9917,BENCHMARK_ONLY,195708,2d314cc59904462b321d7b4ea1abe037fb44db723412dcd6b8da88627aa2c061,1458,NOT_RECORDED_INTERLEAVED_FROZEN_PREDICTOR,334,SRC-111,MATCH,2026-09-24T16:24:43.315374+00:00
