boolean_only_ns,cached_input_read_parse_ns,command,decision,error,explanation_only_ns,fixed_feature_conversion_ns,fold_id,input_ref,input_view,ipc_request_response_inclusive_ns,kind,logical_state,method_id,model_id,opaque_id,operating_point,pass_number,phase,pid,predict_including_explanation_and_model_integrity_ns,prediction_serialization_ns,record_role,sample_inclusive_ns,semantic_sha256,semantic_verification_ns,separate_boolean_explanation_status,sequence,source_condition,status,utc
null,99500,PREDICT,NO_ALERT,null,null,92458,LOEO-v1-03,/Users/xavier/毕业设计/RBA-Cross-Device-Fingerprint/hybridguard_agent/artifacts/discriminative_rule_learning_v1_20260924/R04_freeze_r1/data/current/sample-026c9c82f8e544008d21f45281871ae6.json,core,368625,SAMPLE,F,GREEDY_OR,r03-016f41d7f421b218512d7262,sample-026c9c82f8e544008d21f45281871ae6,OP05,1,COLD,14989,80208,15209,BENCHMARK_ONLY,294084,c0735e682c225fa3d8bb306f499eafd87e314d496384c732a30e8bdaf0742190,2791,NOT_RECORDED_INTERLEAVED_FROZEN_PREDICTOR,1,SRC-111,MATCH,2026-09-24T16:24:43.224550+00:00
null,123792,PREDICT,NO_ALERT,null,null,72584,LOEO-v1-03,/Users/xavier/毕业设计/RBA-Cross-Device-Fingerprint/hybridguard_agent/artifacts/discriminative_rule_learning_v1_20260924/R04_freeze_r1/data/current/sample-03c6dc75f1db4e92baecc6a7c70a5f02.json,core,362125,SAMPLE,F,GREEDY_OR,r03-016f41d7f421b218512d7262,sample-03c6dc75f1db4e92baecc6a7c70a5f02,OP05,1,COLD,14989,79459,16625,BENCHMARK_ONLY,299750,d1449fac88438d94e85f563255bdbb141910675c4125f225df721fc928cb7fba,3000,NOT_RECORDED_INTERLEAVED_FROZEN_PREDICTOR,2,SRC-111,MATCH,2026-09-24T16:24:43.224952+00:00
null,145000,PREDICT,NO_ALERT,null,null,167333,LOEO-v1-01,/Users/xavier/毕业设计/RBA-Cross-Device-Fingerprint/hybridguard_agent/artifacts/discriminative_rule_learning_v1_20260924/R04_freeze_r1/data/current/sample-04689a7774754137a06fc672c9a34627.json,core,548959,SAMPLE,F,GREEDY_OR,r03-32440e7ea280302890a67a73,sample-04689a7774754137a06fc672c9a34627,OP05,1,COLD,14987,117292,18208,BENCHMARK_ONLY,458125,df637744c96afcb9f41dcc0ba293c7aba23327436b164c87e7accbf10b6a02ff,5875,NOT_RECORDED_INTERLEAVED_FROZEN_PREDICTOR,3,SRC-111,MATCH,2026-09-24T16:24:43.225373+00:00
null,190875,PREDICT,NO_ALERT,null,null,140333,LOEO-v1-02,/Users/xavier/毕业设计/RBA-Cross-Device-Fingerprint/hybridguard_agent/artifacts/discriminative_rule_learning_v1_20260924/R04_freeze_r1/data/current/sample-065c905ccda7420eb2d26ede92451811.json,core,562375,SAMPLE,F,GREEDY_OR,r03-473f47463b00eb7aea74f493,sample-065c905ccda7420eb2d26ede92451811,OP05,1,COLD,14988,114625,17541,BENCHMARK_ONLY,470958,3617f20fe38751710b6e526daca51ed83276a714608ee4a01101784c0590a6f7,3208,NOT_RECORDED_INTERLEAVED_FROZEN_PREDICTOR,4,SRC-111,MATCH,2026-09-24T16:24:43.225944+00:00
null,105292,PREDICT,NO_ALERT,null,null,65666,LOEO-v1-03,/Users/xavier/毕业设计/RBA-Cross-Device-Fingerprint/hybridguard_agent/artifacts/discriminative_rule_learning_v1_20260924/R04_freeze_r1/data/current/sample-0b26e99122a54a5699dbf3786325561c.json,core,300042,SAMPLE,F,GREEDY_OR,r03-016f41d7f421b218512d7262,sample-0b26e99122a54a5699dbf3786325561c,OP05,1,COLD,14989,69792,15041,BENCHMARK_ONLY,262334,7daace2b6a00e68d86145e5df69fe02dfde6f96bd95e6eb21dd947b683f0f379,2792,NOT_RECORDED_INTERLEAVED_FROZEN_PREDICTOR,5,SRC-111,MATCH,2026-09-24T16:24:43.226483+00:00
null,121167,PREDICT,NO_ALERT,null,null,76875,LOEO-v1-01,/Users/xavier/毕业设计/RBA-Cross-Device-Fingerprint/hybridguard_agent/artifacts/discriminative_rule_learning_v1_20260924/R04_freeze_r1/data/current/sample-0bffc108cdcd46498c072fd18758b023.json,core,367125,SAMPLE,F,GREEDY_OR,r03-32440e7ea280302890a67a73,sample-0bffc108cdcd46498c072fd18758b023,OP05,1,COLD,14987,97375,16959,BENCHMARK_ONLY,320000,774acfde6f683cc77b02d6747a42c5790380f95bfdb4021c78533fa64dad349d,2875,NOT_RECORDED_INTERLEAVED_FROZEN_PREDICTOR,6,SRC-111,MATCH,2026-09-24T16:24:43.226797+00:00
null,94375,PREDICT,NO_ALERT,null,null,57667,LOEO-v1-03,/Users/xavier/毕业设计/RBA-Cross-Device-Fingerprint/hybridguard_agent/artifacts/discriminative_rule_learning_v1_20260924/R04_freeze_r1/data/current/sample-0c95698111ae406d9ea186860a67bd74.json,core,266125,SAMPLE,F,GREEDY_OR,r03-016f41d7f421b218512d7262,sample-0c95698111ae406d9ea186860a67bd74,OP05,1,COLD,14989,60625,13625,BENCHMARK_ONLY,231125,52c1e70e5478cc38f154534e5cd93dc9470ff819687ac271620bac811d65b440,1625,NOT_RECORDED_INTERLEAVED_FROZEN_PREDICTOR,7,SRC-111,MATCH,2026-09-24T16:24:43.227178+00:00
null,88666,PREDICT,NO_ALERT,null,null,55584,LOEO-v1-03,/Users/xavier/毕业设计/RBA-Cross-Device-Fingerprint/hybridguard_agent/artifacts/discriminative_rule_learning_v1_20260924/R04_freeze_r1/data/current/sample-0cf60a3c6df34e538cbe239df2893a6f.json,core,240000,SAMPLE,F,GREEDY_OR,r03-016f41d7f421b218512d7262,sample-0cf60a3c6df34e538cbe239df2893a6f,OP05,1,COLD,14989,54958,11958,BENCHMARK_ONLY,215417,c4f1b46ed716716e166cf693a7aab11bee7194e69ad0a9a52662bcfe46f9458b,1417,NOT_RECORDED_INTERLEAVED_FROZEN_PREDICTOR,8,SRC-111,MATCH,2026-09-24T16:24:43.227455+00:00
null,84541,PREDICT,NO_ALERT,null,null,53708,LOEO-v1-03,/Users/xavier/毕业设计/RBA-Cross-Device-Fingerprint/hybridguard_agent/artifacts/discriminative_rule_learning_v1_20260924/R04_freeze_r1/data/current/sample-0d231b950599443c8bc22fb483a9f2fa.json,core,227458,SAMPLE,F,GREEDY_OR,r03-016f41d7f421b218512d7262,sample-0d231b950599443c8bc22fb483a9f2fa,OP05,1,COLD,14989,51125,11708,BENCHMARK_ONLY,204958,6550ede979da2e7a7ae72d90e451991c48bcbd24f243c5ae6f7aa6848dec8d55,1208,NOT_RECORDED_INTERLEAVED_FROZEN_PREDICTOR,9,SRC-111,MATCH,2026-09-24T16:24:43.227705+00:00
null,83125,PREDICT,NO_ALERT,null,null,53125,LOEO-v1-03,/Users/xavier/毕业设计/RBA-Cross-Device-Fingerprint/hybridguard_agent/artifacts/discriminative_rule_learning_v1_20260924/R04_freeze_r1/data/current/sample-0ee74dfbc8114447b5112a316a588e94.json,core,224583,SAMPLE,F,GREEDY_OR,r03-016f41d7f421b218512d7262,sample-0ee74dfbc8114447b5112a316a588e94,OP05,1,COLD,14989,50583,11667,BENCHMARK_ONLY,202000,2d314cc59904462b321d7b4ea1abe037fb44db723412dcd6b8da88627aa2c061,1041,NOT_RECORDED_INTERLEAVED_FROZEN_PREDICTOR,10,SRC-111,MATCH,2026-09-24T16:24:43.227942+00:00
