sequence,phase,pass_number,fold_id,model_id,opaque_id,record_role,observed_status,missing
1,COLD,1,LOEO-v1-03,r03-016f41d7f421b218512d7262,sample-026c9c82f8e544008d21f45281871ae6,BENCHMARK_ONLY,MATCH,False
2,COLD,1,LOEO-v1-03,r03-016f41d7f421b218512d7262,sample-03c6dc75f1db4e92baecc6a7c70a5f02,BENCHMARK_ONLY,MATCH,False
3,COLD,1,LOEO-v1-01,r03-32440e7ea280302890a67a73,sample-04689a7774754137a06fc672c9a34627,BENCHMARK_ONLY,MATCH,False
4,COLD,1,LOEO-v1-02,r03-473f47463b00eb7aea74f493,sample-065c905ccda7420eb2d26ede92451811,BENCHMARK_ONLY,MATCH,False
5,COLD,1,LOEO-v1-03,r03-016f41d7f421b218512d7262,sample-0b26e99122a54a5699dbf3786325561c,BENCHMARK_ONLY,MATCH,False
6,COLD,1,LOEO-v1-01,r03-32440e7ea280302890a67a73,sample-0bffc108cdcd46498c072fd18758b023,BENCHMARK_ONLY,MATCH,False
7,COLD,1,LOEO-v1-03,r03-016f41d7f421b218512d7262,sample-0c95698111ae406d9ea186860a67bd74,BENCHMARK_ONLY,MATCH,False
8,COLD,1,LOEO-v1-03,r03-016f41d7f421b218512d7262,sample-0cf60a3c6df34e538cbe239df2893a6f,BENCHMARK_ONLY,MATCH,False
9,COLD,1,LOEO-v1-03,r03-016f41d7f421b218512d7262,sample-0d231b950599443c8bc22fb483a9f2fa,BENCHMARK_ONLY,MATCH,False
10,COLD,1,LOEO-v1-03,r03-016f41d7f421b218512d7262,sample-0ee74dfbc8114447b5112a316a588e94,BENCHMARK_ONLY,MATCH,False
11,COLD,1,LOEO-v1-01,r03-32440e7ea280302890a67a73,sample-120e3c4d39f547b5a9ea2dd62196c7f6,BENCHMARK_ONLY,MATCH,False
12,COLD,1,LOEO-v1-03,r03-016f41d7f421b218512d7262,sample-160f9e5da8474eb6bbfaa61e769c21bc,BENCHMARK_ONLY,MATCH,False
13,COLD,1,LOEO-v1-03,r03-016f41d7f421b218512d7262,sample-182aeff3c250426286d0dee524c6bfa4,BENCHMARK_ONLY,MATCH,False
14,COLD,1,LOEO-v1-03,r03-016f41d7f421b218512d7262,sample-18d243c25e2f4c4d8c89cee0a8df0001,BENCHMARK_ONLY,MATCH,False
15,COLD,1,LOEO-v1-03,r03-016f41d7f421b218512d7262,sample-1944650570ca4cd39fb7b25c4085427a,BENCHMARK_ONLY,MATCH,False
16,COLD,1,LOEO-v1-03,r03-016f41d7f421b218512d7262,sample-19e49034b3d047ad9e5cb96c98dbfc8c,BENCHMARK_ONLY,MATCH,False
17,COLD,1,LOEO-v1-03,r03-016f41d7f421b218512d7262,sample-1af3fbc02e874366a1abaa7a59fc6648,BENCHMARK_ONLY,MATCH,False
18,COLD,1,LOEO-v1-01,r03-32440e7ea280302890a67a73,sample-22af7231c85d4cc39f29e370761b0111,BENCHMARK_ONLY,MATCH,False
19,COLD,1,LOEO-v1-01,r03-32440e7ea280302890a67a73,sample-22ed5502a1a24385bef4cb91046e3683,BENCHMARK_ONLY,MATCH,False
20,COLD,1,LOEO-v1-02,r03-473f47463b00eb7aea74f493,sample-24e48e8890bc4126b5935b155cc639ee,BENCHMARK_ONLY,MATCH,False
21,COLD,1,LOEO-v1-03,r03-016f41d7f421b218512d7262,sample-24fb59bf6a1849bc9d0c2e1884e9482b,BENCHMARK_ONLY,MATCH,False
22,COLD,1,LOEO-v1-03,r03-016f41d7f421b218512d7262,sample-2b9de382d01b49d7a19a13821e13f5a5,BENCHMARK_ONLY,MATCH,False
23,COLD,1,LOEO-v1-03,r03-016f41d7f421b218512d7262,sample-2bf57f5017f94a6a936704994f5b8536,BENCHMARK_ONLY,MATCH,False
24,COLD,1,LOEO-v1-03,r03-016f41d7f421b218512d7262,sample-2da864e5446e43479aae3a4834b9789c,BENCHMARK_ONLY,MATCH,False
25,COLD,1,LOEO-v1-03,r03-016f41d7f421b218512d7262,sample-30c2aafc02bb4f88934f1a681b99ecfb,BENCHMARK_ONLY,MATCH,False
26,COLD,1,LOEO-v1-03,r03-016f41d7f421b218512d7262,sample-33573aabe86e47cfbe7f60f14a82161f,BENCHMARK_ONLY,MATCH,False
27,COLD,1,LOEO-v1-03,r03-016f41d7f421b218512d7262,sample-35331f1c414b4c5693fa7ce53327c5fc,BENCHMARK_ONLY,MATCH,False
28,COLD,1,LOEO-v1-03,r03-016f41d7f421b218512d7262,sample-3612e598c6ec4901a6ed3e2298033d69,BENCHMARK_ONLY,MATCH,False
