experiment_id,protocol_digest,split_id,method_id,operating_point,source_condition,input_view,evaluation_track,data_origin,model_unit_id,fit_job_id,fold_id,train_membership_digest,model_id,reused,executed_model_unit_id,train_membership_ref,original_model_ref,original_training_ref,registered_source_catalog_n,raw_core_alias_n,canonical_atom_n,registered_literal_n,eligible_literal_n,model_status,fit_status,selected_clause_n,selected_atom_n,complexity,train_candidate_availability,availability_counting,outcome_category
R06_SOURCE_REFIT,4ab418434ea79085746c2761a1314751b7c83a538813ae3872b3d9721a2823d4,LOEO-v1,GREEDY_OR,OP05,SRC-000,core,LOEO-v1,R02_FIXED_CACHE,R06_SOURCE_REFIT__LOEO-v1-01__GREEDY_OR__OP05__SRC-000__core,R06_SOURCE_REFIT__LOEO-v1-01__GREEDY_OR__OP05__SRC-000__core,LOEO-v1-01,b9cc9b0905b7ca12bc8b4e29a9012d12a01f9b748ff4958553c227aefa4d8e23,r03-2ee15f1d685371c87d6d0076,False,R06_SOURCE_REFIT__LOEO-v1-01__GREEDY_OR__OP05__SRC-000__core,expected_model_units.jsonl#R06_SOURCE_REFIT__LOEO-v1-01__GREEDY_OR__OP05__SRC-000__core,/Users/xavier/毕业设计/RBA-Cross-Device-Fingerprint/hybridguard_agent/artifacts/discriminative_rule_learning_v1_20260924/R06_sources/dispatch/jobs/R06_SOURCE_REFIT__LOEO-v1-01__GREEDY_OR__OP05__SRC-000__core/model.json,/Users/xavier/毕业设计/RBA-Cross-Device-Fingerprint/hybridguard_agent/artifacts/discriminative_rule_learning_v1_20260924/R06_sources/dispatch/jobs/R06_SOURCE_REFIT__LOEO-v1-01__GREEDY_OR__OP05__SRC-000__core/training.json,0,0,0,0,0,EMPTY_MODEL,EMPTY_CANDIDATE_POOL,0,0,0,"{""attack"": {""coverage"": {""denominator"": 0, ""numerator"": 0, ""status"": ""NOT_EVALUABLE"", ""value"": null}}, ""clean_post"": {""coverage"": {""denominator"": 0, ""numerator"": 0, ""status"": ""NOT_EVALUABLE"", ""value"": null}}, ""clean_pre"": {""coverage"": {""denominator"": 0, ""numerator"": 0, ""status"": ""NOT_EVALUABLE"", ""value"": null}}}","canonical atoms once, POSITIVE support only; not aliases and not both polarities",EMPTY_ADMITTED_POOL
R06_SOURCE_REFIT,4ab418434ea79085746c2761a1314751b7c83a538813ae3872b3d9721a2823d4,LOEO-v1,GREEDY_OR,OP05,SRC-001,core,LOEO-v1,R02_FIXED_CACHE,R06_SOURCE_REFIT__LOEO-v1-01__GREEDY_OR__OP05__SRC-001__core,R06_SOURCE_REFIT__LOEO-v1-01__GREEDY_OR__OP05__SRC-001__core,LOEO-v1-01,b9cc9b0905b7ca12bc8b4e29a9012d12a01f9b748ff4958553c227aefa4d8e23,r03-4e7992befc514e0c3e331350,False,R06_SOURCE_REFIT__LOEO-v1-01__GREEDY_OR__OP05__SRC-001__core,expected_model_units.jsonl#R06_SOURCE_REFIT__LOEO-v1-01__GREEDY_OR__OP05__SRC-001__core,/Users/xavier/毕业设计/RBA-Cross-Device-Fingerprint/hybridguard_agent/artifacts/discriminative_rule_learning_v1_20260924/R06_sources/dispatch/jobs/R06_SOURCE_REFIT__LOEO-v1-01__GREEDY_OR__OP05__SRC-001__core/model.json,/Users/xavier/毕业设计/RBA-Cross-Device-Fingerprint/hybridguard_agent/artifacts/discriminative_rule_learning_v1_20260924/R06_sources/dispatch/jobs/R06_SOURCE_REFIT__LOEO-v1-01__GREEDY_OR__OP05__SRC-001__core/training.json,23,8,8,16,9,FITTED,HEURISTIC_FEASIBLE,1,1,2,"{""attack"": {""F"": 255, ""FAILED"": 0, ""T"": 30, ""U"": 75, ""coverage"": {""denominator"": 360, ""numerator"": 285, ""status"": ""OK"", ""value"": 0.7916666666666666}, ""defined"": 285, ""expected"": 360}, ""clean_post"": {""F"": 315, ""FAILED"": 0, ""T"": 0, ""U"": 45, ""coverage"": {""denominator"": 360, ""numerator"": 315, ""status"": ""OK"", ""value"": 0.875}, ""defined"": 315, ""expected"": 360}, ""clean_pre"": {""F"": 315, ""FAILED"": 0, ""T"": 0, ""U"": 45, ""coverage"": {""denominator"": 360, ""numerator"": 315, ""status"": ""OK"", ""value"": 0.875}, ""defined"": 315, ""expected"": 360}}","canonical atoms once, POSITIVE support only; not aliases and not both polarities",FITTED_FROM_SUPPORTED_POOL
R06_SOURCE_REFIT,4ab418434ea79085746c2761a1314751b7c83a538813ae3872b3d9721a2823d4,LOEO-v1,GREEDY_OR,OP05,SRC-010,core,LOEO-v1,R02_FIXED_CACHE,R06_SOURCE_REFIT__LOEO-v1-01__GREEDY_OR__OP05__SRC-010__core,R06_SOURCE_REFIT__LOEO-v1-01__GREEDY_OR__OP05__SRC-010__core,LOEO-v1-01,b9cc9b0905b7ca12bc8b4e29a9012d12a01f9b748ff4958553c227aefa4d8e23,r03-2ec0ecaccc040f5df5aaad07,False,R06_SOURCE_REFIT__LOEO-v1-01__GREEDY_OR__OP05__SRC-010__core,expected_model_units.jsonl#R06_SOURCE_REFIT__LOEO-v1-01__GREEDY_OR__OP05__SRC-010__core,/Users/xavier/毕业设计/RBA-Cross-Device-Fingerprint/hybridguard_agent/artifacts/discriminative_rule_learning_v1_20260924/R06_sources/dispatch/jobs/R06_SOURCE_REFIT__LOEO-v1-01__GREEDY_OR__OP05__SRC-010__core/model.json,/Users/xavier/毕业设计/RBA-Cross-Device-Fingerprint/hybridguard_agent/artifacts/discriminative_rule_learning_v1_20260924/R06_sources/dispatch/jobs/R06_SOURCE_REFIT__LOEO-v1-01__GREEDY_OR__OP05__SRC-010__core/training.json,14,0,0,0,0,EMPTY_MODEL,EMPTY_CANDIDATE_POOL,0,0,0,"{""attack"": {""coverage"": {""denominator"": 0, ""numerator"": 0, ""status"": ""NOT_EVALUABLE"", ""value"": null}}, ""clean_post"": {""coverage"": {""denominator"": 0, ""numerator"": 0, ""status"": ""NOT_EVALUABLE"", ""value"": null}}, ""clean_pre"": {""coverage"": {""denominator"": 0, ""numerator"": 0, ""status"": ""NOT_EVALUABLE"", ""value"": null}}}","canonical atoms once, POSITIVE support only; not aliases and not both polarities",EMPTY_ADMITTED_POOL
R06_SOURCE_REFIT,4ab418434ea79085746c2761a1314751b7c83a538813ae3872b3d9721a2823d4,LOEO-v1,GREEDY_OR,OP05,SRC-011,core,LOEO-v1,R02_FIXED_CACHE,R06_SOURCE_REFIT__LOEO-v1-01__GREEDY_OR__OP05__SRC-011__core,R06_SOURCE_REFIT__LOEO-v1-01__GREEDY_OR__OP05__SRC-011__core,LOEO-v1-01,b9cc9b0905b7ca12bc8b4e29a9012d12a01f9b748ff4958553c227aefa4d8e23,r03-0ca9520e6f94c3f0da785aa9,False,R06_SOURCE_REFIT__LOEO-v1-01__GREEDY_OR__OP05__SRC-011__core,expected_model_units.jsonl#R06_SOURCE_REFIT__LOEO-v1-01__GREEDY_OR__OP05__SRC-011__core,/Users/xavier/毕业设计/RBA-Cross-Device-Fingerprint/hybridguard_agent/artifacts/discriminative_rule_learning_v1_20260924/R06_sources/dispatch/jobs/R06_SOURCE_REFIT__LOEO-v1-01__GREEDY_OR__OP05__SRC-011__core/model.json,/Users/xavier/毕业设计/RBA-Cross-Device-Fingerprint/hybridguard_agent/artifacts/discriminative_rule_learning_v1_20260924/R06_sources/dispatch/jobs/R06_SOURCE_REFIT__LOEO-v1-01__GREEDY_OR__OP05__SRC-011__core/training.json,37,8,8,16,9,FITTED,HEURISTIC_FEASIBLE,1,1,2,"{""attack"": {""F"": 255, ""FAILED"": 0, ""T"": 30, ""U"": 75, ""coverage"": {""denominator"": 360, ""numerator"": 285, ""status"": ""OK"", ""value"": 0.7916666666666666}, ""defined"": 285, ""expected"": 360}, ""clean_post"": {""F"": 315, ""FAILED"": 0, ""T"": 0, ""U"": 45, ""coverage"": {""denominator"": 360, ""numerator"": 315, ""status"": ""OK"", ""value"": 0.875}, ""defined"": 315, ""expected"": 360}, ""clean_pre"": {""F"": 315, ""FAILED"": 0, ""T"": 0, ""U"": 45, ""coverage"": {""denominator"": 360, ""numerator"": 315, ""status"": ""OK"", ""value"": 0.875}, ""defined"": 315, ""expected"": 360}}","canonical atoms once, POSITIVE support only; not aliases and not both polarities",FITTED_FROM_SUPPORTED_POOL
R06_SOURCE_REFIT,4ab418434ea79085746c2761a1314751b7c83a538813ae3872b3d9721a2823d4,LOEO-v1,GREEDY_OR,OP05,SRC-100,core,LOEO-v1,R02_FIXED_CACHE,R06_SOURCE_REFIT__LOEO-v1-01__GREEDY_OR__OP05__SRC-100__core,R06_SOURCE_REFIT__LOEO-v1-01__GREEDY_OR__OP05__SRC-100__core,LOEO-v1-01,b9cc9b0905b7ca12bc8b4e29a9012d12a01f9b748ff4958553c227aefa4d8e23,r03-cd7a0dbc95793a4cce705eb0,False,R06_SOURCE_REFIT__LOEO-v1-01__GREEDY_OR__OP05__SRC-100__core,expected_model_units.jsonl#R06_SOURCE_REFIT__LOEO-v1-01__GREEDY_OR__OP05__SRC-100__core,/Users/xavier/毕业设计/RBA-Cross-Device-Fingerprint/hybridguard_agent/artifacts/discriminative_rule_learning_v1_20260924/R06_sources/dispatch/jobs/R06_SOURCE_REFIT__LOEO-v1-01__GREEDY_OR__OP05__SRC-100__core/model.json,/Users/xavier/毕业设计/RBA-Cross-Device-Fingerprint/hybridguard_agent/artifacts/discriminative_rule_learning_v1_20260924/R06_sources/dispatch/jobs/R06_SOURCE_REFIT__LOEO-v1-01__GREEDY_OR__OP05__SRC-100__core/training.json,9,4,4,8,6,FITTED,HEURISTIC_FEASIBLE,1,1,2,"{""attack"": {""F"": 132, ""FAILED"": 0, ""T"": 33, ""U"": 15, ""coverage"": {""denominator"": 180, ""numerator"": 165, ""status"": ""OK"", ""value"": 0.9166666666666666}, ""defined"": 165, ""expected"": 180}, ""clean_post"": {""F"": 180, ""FAILED"": 0, ""T"": 0, ""U"": 0, ""coverage"": {""denominator"": 180, ""numerator"": 180, ""status"": ""OK"", ""value"": 1.0}, ""defined"": 180, ""expected"": 180}, ""clean_pre"": {""F"": 180, ""FAILED"": 0, ""T"": 0, ""U"": 0, ""coverage"": {""denominator"": 180, ""numerator"": 180, ""status"": ""OK"", ""value"": 1.0}, ""defined"": 180, ""expected"": 180}}","canonical atoms once, POSITIVE support only; not aliases and not both polarities",FITTED_FROM_SUPPORTED_POOL
R06_SOURCE_REFIT,4ab418434ea79085746c2761a1314751b7c83a538813ae3872b3d9721a2823d4,LOEO-v1,GREEDY_OR,OP05,SRC-101,core,LOEO-v1,R02_FIXED_CACHE,R06_SOURCE_REFIT__LOEO-v1-01__GREEDY_OR__OP05__SRC-101__core,R06_SOURCE_REFIT__LOEO-v1-01__GREEDY_OR__OP05__SRC-101__core,LOEO-v1-01,b9cc9b0905b7ca12bc8b4e29a9012d12a01f9b748ff4958553c227aefa4d8e23,r03-5cbb1ba9daae9be444377295,False,R06_SOURCE_REFIT__LOEO-v1-01__GREEDY_OR__OP05__SRC-101__core,expected_model_units.jsonl#R06_SOURCE_REFIT__LOEO-v1-01__GREEDY_OR__OP05__SRC-101__core,/Users/xavier/毕业设计/RBA-Cross-Device-Fingerprint/hybridguard_agent/artifacts/discriminative_rule_learning_v1_20260924/R06_sources/dispatch/jobs/R06_SOURCE_REFIT__LOEO-v1-01__GREEDY_OR__OP05__SRC-101__core/model.json,/Users/xavier/毕业设计/RBA-Cross-Device-Fingerprint/hybridguard_agent/artifacts/discriminative_rule_learning_v1_20260924/R06_sources/dispatch/jobs/R06_SOURCE_REFIT__LOEO-v1-01__GREEDY_OR__OP05__SRC-101__core/training.json,32,12,10,20,13,FITTED,HEURISTIC_FEASIBLE,1,1,2,"{""attack"": {""F"": 312, ""FAILED"": 0, ""T"": 63, ""U"": 75, ""coverage"": {""denominator"": 450, ""numerator"": 375, ""status"": ""OK"", ""value"": 0.8333333333333334}, ""defined"": 375, ""expected"": 450}, ""clean_post"": {""F"": 405, ""FAILED"": 0, ""T"": 0, ""U"": 45, ""coverage"": {""denominator"": 450, ""numerator"": 405, ""status"": ""OK"", ""value"": 0.9}, ""defined"": 405, ""expected"": 450}, ""clean_pre"": {""F"": 405, ""FAILED"": 0, ""T"": 0, ""U"": 45, ""coverage"": {""denominator"": 450, ""numerator"": 405, ""status"": ""OK"", ""value"": 0.9}, ""defined"": 405, ""expected"": 450}}","canonical atoms once, POSITIVE support only; not aliases and not both polarities",FITTED_FROM_SUPPORTED_POOL
R06_SOURCE_REFIT,4ab418434ea79085746c2761a1314751b7c83a538813ae3872b3d9721a2823d4,LOEO-v1,GREEDY_OR,OP05,SRC-110,core,LOEO-v1,R02_FIXED_CACHE,R06_SOURCE_REFIT__LOEO-v1-01__GREEDY_OR__OP05__SRC-110__core,R06_SOURCE_REFIT__LOEO-v1-01__GREEDY_OR__OP05__SRC-110__core,LOEO-v1-01,b9cc9b0905b7ca12bc8b4e29a9012d12a01f9b748ff4958553c227aefa4d8e23,r03-e0770bf8dfdc7ea0435b59d9,False,R06_SOURCE_REFIT__LOEO-v1-01__GREEDY_OR__OP05__SRC-110__core,expected_model_units.jsonl#R06_SOURCE_REFIT__LOEO-v1-01__GREEDY_OR__OP05__SRC-110__core,/Users/xavier/毕业设计/RBA-Cross-Device-Fingerprint/hybridguard_agent/artifacts/discriminative_rule_learning_v1_20260924/R06_sources/dispatch/jobs/R06_SOURCE_REFIT__LOEO-v1-01__GREEDY_OR__OP05__SRC-110__core/model.json,/Users/xavier/毕业设计/RBA-Cross-Device-Fingerprint/hybridguard_agent/artifacts/discriminative_rule_learning_v1_20260924/R06_sources/dispatch/jobs/R06_SOURCE_REFIT__LOEO-v1-01__GREEDY_OR__OP05__SRC-110__core/training.json,23,4,4,8,6,FITTED,HEURISTIC_FEASIBLE,1,1,2,"{""attack"": {""F"": 132, ""FAILED"": 0, ""T"": 33, ""U"": 15, ""coverage"": {""denominator"": 180, ""numerator"": 165, ""status"": ""OK"", ""value"": 0.9166666666666666}, ""defined"": 165, ""expected"": 180}, ""clean_post"": {""F"": 180, ""FAILED"": 0, ""T"": 0, ""U"": 0, ""coverage"": {""denominator"": 180, ""numerator"": 180, ""status"": ""OK"", ""value"": 1.0}, ""defined"": 180, ""expected"": 180}, ""clean_pre"": {""F"": 180, ""FAILED"": 0, ""T"": 0, ""U"": 0, ""coverage"": {""denominator"": 180, ""numerator"": 180, ""status"": ""OK"", ""value"": 1.0}, ""defined"": 180, ""expected"": 180}}","canonical atoms once, POSITIVE support only; not aliases and not both polarities",FITTED_FROM_SUPPORTED_POOL
R06_SOURCE_REFIT,4ab418434ea79085746c2761a1314751b7c83a538813ae3872b3d9721a2823d4,LOEO-v1,GREEDY_OR,OP05,SRC-111,core,LOEO-v1,R02_FIXED_CACHE,R06_SOURCE_REFIT__LOEO-v1-01__GREEDY_OR__OP05__SRC-111__core,R05_PRIMARY__LOEO-v1-01__GREEDY_OR__OP05__SRC-111__core,LOEO-v1-01,b9cc9b0905b7ca12bc8b4e29a9012d12a01f9b748ff4958553c227aefa4d8e23,r03-32440e7ea280302890a67a73,True,R05_PRIMARY__LOEO-v1-01__GREEDY_OR__OP05__SRC-111__core,expected_model_units.jsonl#R06_SOURCE_REFIT__LOEO-v1-01__GREEDY_OR__OP05__SRC-111__core,/Users/xavier/毕业设计/RBA-Cross-Device-Fingerprint/hybridguard_agent/artifacts/discriminative_rule_learning_v1_20260924/R05_primary/dispatch/jobs/R05_PRIMARY__LOEO-v1-01__GREEDY_OR__OP05__SRC-111__core/model.json,/Users/xavier/毕业设计/RBA-Cross-Device-Fingerprint/hybridguard_agent/artifacts/discriminative_rule_learning_v1_20260924/R05_primary/dispatch/jobs/R05_PRIMARY__LOEO-v1-01__GREEDY_OR__OP05__SRC-111__core/training.json,46,12,10,20,13,FITTED,HEURISTIC_FEASIBLE,1,1,2,"{""attack"": {""F"": 312, ""FAILED"": 0, ""T"": 63, ""U"": 75, ""coverage"": {""denominator"": 450, ""numerator"": 375, ""status"": ""OK"", ""value"": 0.8333333333333334}, ""defined"": 375, ""expected"": 450}, ""clean_post"": {""F"": 405, ""FAILED"": 0, ""T"": 0, ""U"": 45, ""coverage"": {""denominator"": 450, ""numerator"": 405, ""status"": ""OK"", ""value"": 0.9}, ""defined"": 405, ""expected"": 450}, ""clean_pre"": {""F"": 405, ""FAILED"": 0, ""T"": 0, ""U"": 45, ""coverage"": {""denominator"": 450, ""numerator"": 405, ""status"": ""OK"", ""value"": 0.9}, ""defined"": 405, ""expected"": 450}}","canonical atoms once, POSITIVE support only; not aliases and not both polarities",FITTED_FROM_SUPPORTED_POOL
R06_SOURCE_REFIT,4ab418434ea79085746c2761a1314751b7c83a538813ae3872b3d9721a2823d4,LOEO-v1,GREEDY_OR,OP05,SRC-000,core,LOEO-v1,R02_FIXED_CACHE,R06_SOURCE_REFIT__LOEO-v1-02__GREEDY_OR__OP05__SRC-000__core,R06_SOURCE_REFIT__LOEO-v1-02__GREEDY_OR__OP05__SRC-000__core,LOEO-v1-02,91ca3c81351a9f36d1217438d95d06b37fb0eb59fa13fdb6acdf12168cd51e0c,r03-ae26134ee04fa9ba95b013e7,False,R06_SOURCE_REFIT__LOEO-v1-02__GREEDY_OR__OP05__SRC-000__core,expected_model_units.jsonl#R06_SOURCE_REFIT__LOEO-v1-02__GREEDY_OR__OP05__SRC-000__core,/Users/xavier/毕业设计/RBA-Cross-Device-Fingerprint/hybridguard_agent/artifacts/discriminative_rule_learning_v1_20260924/R06_sources/dispatch/jobs/R06_SOURCE_REFIT__LOEO-v1-02__GREEDY_OR__OP05__SRC-000__core/model.json,/Users/xavier/毕业设计/RBA-Cross-Device-Fingerprint/hybridguard_agent/artifacts/discriminative_rule_learning_v1_20260924/R06_sources/dispatch/jobs/R06_SOURCE_REFIT__LOEO-v1-02__GREEDY_OR__OP05__SRC-000__core/training.json,0,0,0,0,0,EMPTY_MODEL,EMPTY_CANDIDATE_POOL,0,0,0,"{""attack"": {""coverage"": {""denominator"": 0, ""numerator"": 0, ""status"": ""NOT_EVALUABLE"", ""value"": null}}, ""clean_post"": {""coverage"": {""denominator"": 0, ""numerator"": 0, ""status"": ""NOT_EVALUABLE"", ""value"": null}}, ""clean_pre"": {""coverage"": {""denominator"": 0, ""numerator"": 0, ""status"": ""NOT_EVALUABLE"", ""value"": null}}}","canonical atoms once, POSITIVE support only; not aliases and not both polarities",EMPTY_ADMITTED_POOL
R06_SOURCE_REFIT,4ab418434ea79085746c2761a1314751b7c83a538813ae3872b3d9721a2823d4,LOEO-v1,GREEDY_OR,OP05,SRC-001,core,LOEO-v1,R02_FIXED_CACHE,R06_SOURCE_REFIT__LOEO-v1-02__GREEDY_OR__OP05__SRC-001__core,R06_SOURCE_REFIT__LOEO-v1-02__GREEDY_OR__OP05__SRC-001__core,LOEO-v1-02,91ca3c81351a9f36d1217438d95d06b37fb0eb59fa13fdb6acdf12168cd51e0c,r03-8b18da1bfdce0887bef97883,False,R06_SOURCE_REFIT__LOEO-v1-02__GREEDY_OR__OP05__SRC-001__core,expected_model_units.jsonl#R06_SOURCE_REFIT__LOEO-v1-02__GREEDY_OR__OP05__SRC-001__core,/Users/xavier/毕业设计/RBA-Cross-Device-Fingerprint/hybridguard_agent/artifacts/discriminative_rule_learning_v1_20260924/R06_sources/dispatch/jobs/R06_SOURCE_REFIT__LOEO-v1-02__GREEDY_OR__OP05__SRC-001__core/model.json,/Users/xavier/毕业设计/RBA-Cross-Device-Fingerprint/hybridguard_agent/artifacts/discriminative_rule_learning_v1_20260924/R06_sources/dispatch/jobs/R06_SOURCE_REFIT__LOEO-v1-02__GREEDY_OR__OP05__SRC-001__core/training.json,23,8,8,16,9,FITTED,HEURISTIC_FEASIBLE,1,1,2,"{""attack"": {""F"": 264, ""FAILED"": 0, ""T"": 36, ""U"": 84, ""coverage"": {""denominator"": 384, ""numerator"": 300, ""status"": ""OK"", ""value"": 0.78125}, ""defined"": 300, ""expected"": 384}, ""clean_post"": {""F"": 336, ""FAILED"": 0, ""T"": 0, ""U"": 48, ""coverage"": {""denominator"": 384, ""numerator"": 336, ""status"": ""OK"", ""value"": 0.875}, ""defined"": 336, ""expected"": 384}, ""clean_pre"": {""F"": 336, ""FAILED"": 0, ""T"": 0, ""U"": 48, ""coverage"": {""denominator"": 384, ""numerator"": 336, ""status"": ""OK"", ""value"": 0.875}, ""defined"": 336, ""expected"": 384}}","canonical atoms once, POSITIVE support only; not aliases and not both polarities",FITTED_FROM_SUPPORTED_POOL
